density,radius,drag_coeff,mass,height,alpha,velocity,distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45156924759663397
0.5,0.5,0.5,0.5,0.5,0.5,0.5,76.44339387251196
0.75,0.25,0.25,0.25,0.75,0.75,0.25,25.37494116895105
0.25,0.75,0.75,0.75,0.25,0.25,0.75,98.62037803359104
0.375,0.375,0.625,0.875,0.375,0.125,0.375,57.15212518446078
0.875,0.875,0.125,0.375,0.875,0.625,0.875,77.64569592909217
0.625,0.125,0.875,0.625,0.625,0.875,0.125,5.939008763694786
0.125,0.625,0.375,0.125,0.125,0.375,0.625,83.27395238043576
0.1875,0.3125,0.9375,0.4375,0.5625,0.3125,0.4375,82.51553581291753
0.6875,0.8125,0.4375,0.9375,0.0625,0.8125,0.9375,51.27917711243583
0.9375,0.0625,0.6875,0.1875,0.3125,0.5625,0.1875,21.888144370041783
0.4375,0.5625,0.1875,0.6875,0.8125,0.0625,0.6875,126.73476785735843
0.3125,0.1875,0.3125,0.5625,0.9375,0.4375,0.0625,14.338405112737385
0.8125,0.6875,0.8125,0.0625,0.4375,0.9375,0.5625,7.93763986385536
0.5625,0.4375,0.0625,0.8125,0.1875,0.6875,0.3125,28.8056256319812
0.0625,0.9375,0.5625,0.3125,0.6875,0.1875,0.8125,120.75042550795774
0.09375,0.46875,0.46875,0.65625,0.28125,0.96875,0.53125,7.666169765461283
0.59375,0.96875,0.96875,0.15625,0.78125,0.46875,0.03125,5.008908818169695
0.84375,0.21875,0.21875,0.90625,0.53125,0.21875,0.78125,161.12122971293618
0.34375,0.71875,0.71875,0.40625,0.03125,0.71875,0.28125,16.13524151842039
0.46875,0.09375,0.84375,0.28125,0.15625,0.84375,0.90625,82.44958718379594
0.96875,0.59375,0.34375,0.78125,0.65625,0.34375,0.40625,66.9086953915583
0.71875,0.34375,0.59375,0.03125,0.90625,0.09375,0.65625,106.22369552265913
0.21875,0.84375,0.09375,0.53125,0.40625,0.59375,0.15625,18.000349618043515
0.15625,0.15625,0.53125,0.84375,0.84375,0.65625,0.96875,225.08127116670312
0.65625,0.65625,0.03125,0.34375,0.34375,0.15625,0.46875,64.44325923315992
0.90625,0.40625,0.78125,0.59375,0.09375,0.40625,0.71875,87.27270440168863
0.40625,0.90625,0.28125,0.09375,0.59375,0.90625,0.21875,6.618073818281435
0.28125,0.28125,0.15625,0.21875,0.71875,0.53125,0.59375,119.74330112176041
0.78125,0.78125,0.65625,0.71875,0.21875,0.03125,0.09375,11.207553946946316
0.53125,0.03125,0.40625,0.46875,0.46875,0.28125,0.84375,196.2079599170239
0.03125,0.53125,0.90625,0.96875,0.96875,0.78125,0.34375,35.85762923409722
0.046875,0.265625,0.703125,0.546875,0.140625,0.921875,0.796875,36.31113717415989
0.546875,0.765625,0.203125,0.046875,0.640625,0.421875,0.296875,41.455211084385134
0.796875,0.015625,0.953125,0.796875,0.890625,0.171875,0.546875,129.97314709005332
0.296875,0.515625,0.453125,0.296875,0.390625,0.671875,0.046875,4.946380226048818
0.421875,0.140625,0.078125,0.421875,0.265625,0.796875,0.671875,72.7589406163706
0.921875,0.640625,0.578125,0.921875,0.765625,0.296875,0.171875,30.87318575431892
0.671875,0.390625,0.328125,0.171875,0.515625,0.046875,0.921875,124.15569258361086
0.171875,0.890625,0.828125,0.671875,0.015625,0.546875,0.421875,37.59961423170967
0.234375,0.078125,0.265625,0.984375,0.703125,0.734375,0.734375,123.87738809396859
0.734375,0.578125,0.765625,0.484375,0.203125,0.234375,0.234375,26.237197021764285
0.984375,0.328125,0.015625,0.734375,0.453125,0.484375,0.984375,205.02669118135503
0.484375,0.828125,0.515625,0.234375,0.953125,0.984375,0.484375,2.548332421291303
0.359375,0.453125,0.890625,0.109375,0.828125,0.609375,0.859375,104.19929908662402
0.859375,0.953125,0.390625,0.609375,0.328125,0.109375,0.359375,39.33493464729161
0.609375,0.203125,0.640625,0.359375,0.078125,0.359375,0.609375,85.66522738919458
0.109375,0.703125,0.140625,0.859375,0.578125,0.859375,0.109375,5.6201590492320905
0.078125,0.234375,0.796875,0.140625,0.421875,0.078125,0.265625,42.198197654617786
0.578125,0.734375,0.296875,0.640625,0.921875,0.578125,0.765625,104.40512599295879
0.828125,0.484375,0.546875,0.390625,0.671875,0.828125,0.015625,1.6646678274609923
