number,value,state,params_activation,params_batch_size,params_beta1,params_beta2,params_layer_depth,params_learning_rate,params_n_layers,params_weight_decay,user_attrs_activation_fn,user_attrs_train_error,user_attrs_train_time
0,,FAIL,Sigmoid,512,0.99,0.991,12,0.001331121608073689,9,1.2674255898937194e-08,,,
1,0.08593912422657013,COMPLETE,Sigmoid,512,0.99,0.991,12,0.001331121608073689,9,1.2674255898937194e-08,Sigmoid,0.07378068566322327,99.03757810592651
2,10.578588485717773,COMPLETE,Tanh,512,0.9099999999999999,0.989,4,7.52374288453485e-05,6,6.78905327169848e-07,Tanh,10.58602523803711,81.91672229766846
3,0.03464682772755623,COMPLETE,Sigmoid,1024,0.86,0.984,7,0.002661901888489057,5,3.3347927286375814e-07,Sigmoid,0.0390348844230175,43.224315881729126
4,0.27411192655563354,COMPLETE,Sigmoid,64,0.99,0.988,3,0.00043664735929796326,10,8.399864445957488e-08,Sigmoid,0.28259968757629395,760.0517959594727
5,11.329578399658203,COMPLETE,Tanh,1024,0.9,0.964,11,6.516990611177177e-05,19,0.00013921548533046482,Tanh,11.342811584472656,87.00965809822083
6,0.14753571152687073,COMPLETE,Sigmoid,64,0.96,0.953,3,0.001319994226153501,12,4.416068895118589e-05,Sigmoid,0.1496913880109787,850.3356137275696
7,0.15789559483528137,COMPLETE,Sigmoid,1024,0.9199999999999999,0.955,3,0.0008178476574339542,8,0.0002729378165037473,Sigmoid,0.14370429515838623,60.658079862594604
8,9.243934631347656,COMPLETE,Tanh,128,0.89,0.975,10,1.2424747083660186e-05,15,1.5207297997231788e-05,Tanh,9.25815486907959,533.5706648826599
9,2.0499048233032227,COMPLETE,Tanh,1024,0.98,0.99,4,0.002656813924114493,19,1.4689898077648787e-05,Tanh,2.0502874851226807,92.2903139591217
10,0.1165056973695755,COMPLETE,Tanh,64,0.85,0.975,11,0.00284475125551182,5,0.00020121155449063808,Tanh,0.11854993551969528,507.232430934906
11,2.0566272735595703,COMPLETE,Tanh,64,0.88,0.974,4,0.008228984573308165,9,0.000648987713208435,Tanh,2.0531973838806152,720.1828591823578
12,15.477484703063965,COMPLETE,Tanh,512,0.99,0.962,5,2.7207248059486674e-05,7,2.8006820077310227e-06,Tanh,15.491189002990723,91.25995326042175
13,0.280730664730072,COMPLETE,Tanh,256,0.87,0.952,10,0.0032055863990707507,14,4.016986062226062e-07,Tanh,0.28636234998703003,250.6876950263977
14,0.1224040687084198,COMPLETE,Tanh,512,0.9,0.955,9,0.006459367085984857,13,4.8708496102002865e-08,Tanh,0.11247104406356812,125.5622489452362
15,1.922149658203125,COMPLETE,Tanh,64,0.94,0.966,11,0.004916400722913764,19,0.0003177534582118828,Tanh,1.9202888011932373,1229.2932286262512
16,285.2435302734375,PRUNED,Sigmoid,1024,0.86,0.983,9,0.0006596099207886098,8,1.1116939907244579e-08,,,
17,0.1380547732114792,COMPLETE,Tanh,256,0.97,0.982,3,0.0017356982090814235,2,1.7707795393478513e-05,Tanh,0.12578614056110382,67.34917998313904
18,0.16842983663082123,COMPLETE,Sigmoid,128,0.9299999999999999,0.974,3,0.0024234491447023164,12,3.259758793317359e-06,Sigmoid,0.1608308106660843,430.1497209072113
19,329.36956787109375,PRUNED,Sigmoid,512,0.98,0.971,9,0.00012896625857891436,5,1.1947666257325957e-08,,,
20,0.28850120306015015,COMPLETE,Sigmoid,128,0.9299999999999999,0.954,12,0.006433752092130681,20,3.0209878831880666e-05,Sigmoid,0.29867851734161377,654.4223318099976
21,328.12908935546875,PRUNED,Sigmoid,1024,0.85,0.998,7,0.00023476231120700216,2,8.298229886340165e-08,,,
22,236.8925018310547,PRUNED,Sigmoid,512,0.85,0.997,7,0.001094269240538366,4,2.8919603047703045e-07,,,
23,0.0860522985458374,COMPLETE,Sigmoid,64,0.87,0.982,7,0.003484641461261809,4,1.3544295180330985e-06,Sigmoid,0.08030793815851212,481.75598406791687
24,219.2261505126953,PRUNED,Sigmoid,256,0.87,0.981,7,0.0005861554819300933,4,1.9174179258583207e-06,,,
25,166.55130004882812,PRUNED,Sigmoid,512,0.95,0.993,6,0.0015470504932079173,3,3.32821716035647e-08,,,
26,311.3299560546875,PRUNED,Sigmoid,1024,0.88,0.984,8,0.0002611956170165577,6,9.087978547007522e-07,,,
27,1.0731713771820068,COMPLETE,Sigmoid,64,0.87,0.979,6,0.0043138648667759875,10,1.6576966047568795e-07,Sigmoid,1.0632048845291138,772.6230421066284
28,1.8715543746948242,COMPLETE,Sigmoid,512,0.9,0.986,8,0.009348463773749443,16,5.947935514757036e-06,Sigmoid,1.8574000597000122,152.66549968719482
29,0.09784560650587082,COMPLETE,Sigmoid,64,0.86,0.993,6,0.0010222716496943733,7,1.2181328660406962e-06,Sigmoid,0.0878741443157196,633.0468769073486
30,227.04461669921875,PRUNED,Sigmoid,1024,0.89,0.992,5,0.0041171494108412235,6,5.565700553302807e-07,,,
31,195.97317504882812,PRUNED,Sigmoid,512,0.9099999999999999,0.986,8,0.0019149855160967022,3,2.348405937238893e-08,,,
32,0.08703644573688507,COMPLETE,Sigmoid,64,0.86,0.995,6,0.0009920625925173275,7,1.071939335273509e-06,Sigmoid,0.08297984302043915,634.1918430328369
33,156.47679138183594,PRUNED,Sigmoid,64,0.86,0.988,5,0.0004106399481552228,10,1.7495802474088122e-07,,,
34,88.84042358398438,PRUNED,Sigmoid,64,0.88,0.996,6,0.0005303556823111799,7,5.998090628848852e-06,,,
35,0.06409405171871185,COMPLETE,Sigmoid,64,0.86,0.979,8,0.0011816314416529254,9,1.6991712008212465e-07,Sigmoid,0.06194879487156868,722.4881460666656
36,0.08477158099412918,COMPLETE,Sigmoid,64,0.9099999999999999,0.979,12,0.0018704422265413188,11,9.68024812215754e-08,Sigmoid,0.08661004155874252,809.2709357738495
37,238.46194458007812,PRUNED,Sigmoid,1024,0.96,0.978,12,0.0014859549755666566,11,8.168269657262818e-08,,,
38,204.93333435058594,PRUNED,Sigmoid,128,0.9099999999999999,0.97,12,0.0001694177963377136,9,1.4666508851167293e-07,,,
39,65.48356628417969,PRUNED,Sigmoid,64,0.9199999999999999,0.979,10,0.00035856774723192056,11,4.3552613172255444e-08,,,
40,294.8173828125,PRUNED,Sigmoid,1024,0.89,0.989,2,0.0007340243614204625,9,1.9756795733253874e-08,,,
41,0.0888272076845169,COMPLETE,Sigmoid,256,0.95,0.977,11,0.0023139595311445246,16,2.577041867399495e-07,Sigmoid,0.09209707379341125,286.39228796958923
42,0.09952002763748169,COMPLETE,Sigmoid,64,0.87,0.985,8,0.003337406905953423,5,5.434877369300361e-07,Sigmoid,0.09424509108066559,502.21361684799194
43,0.07852436602115631,COMPLETE,Sigmoid,64,0.85,0.981,10,0.002011719261957832,8,9.769712413236349e-08,Sigmoid,0.07381809502840042,693.0062630176544
44,0.06476417183876038,COMPLETE,Sigmoid,64,0.85,0.99,10,0.0013116410154237776,8,7.30185129834682e-08,Sigmoid,0.05418211966753006,692.5504319667816
45,0.09676574915647507,COMPLETE,Sigmoid,64,0.85,0.98,10,0.0011976525573030694,8,6.509031095151319e-08,Sigmoid,0.0955897718667984,693.2357888221741
46,0.13088741898536682,COMPLETE,Sigmoid,64,0.85,0.971,9,0.001909234465764454,10,1.2269955581414812e-07,Sigmoid,0.12991294264793396,790.2024600505829
47,2.023003578186035,COMPLETE,Sigmoid,64,0.86,0.987,11,0.005820094847356932,12,3.907869845994396e-07,Sigmoid,2.0223734378814697,869.2717490196228
48,343.48419189453125,PRUNED,Sigmoid,64,0.88,0.977,10,4.456556209605477e-05,8,2.3298911846014774e-08,,,
49,0.0899135172367096,COMPLETE,Sigmoid,64,0.86,0.991,11,0.0008851001047316585,13,1.0930412682394723e-07,Sigmoid,0.08664225786924362,934.865148305893
50,0.1320657581090927,COMPLETE,Tanh,64,0.85,0.974,9,0.0023656886853915446,9,2.5220821860733406e-07,Tanh,0.13701260089874268,733.7618200778961
51,0.09444037079811096,COMPLETE,Sigmoid,64,0.88,0.984,10,0.0013089684916045997,6,4.993847471381974e-08,Sigmoid,0.09294090420007706,590.5154900550842
52,120.14994812011719,PRUNED,Sigmoid,512,0.99,0.988,12,0.0018902821491575262,11,3.3067401221378076e-08,,,
53,0.05081755667924881,COMPLETE,Sigmoid,128,0.98,0.99,12,0.0025962252619561167,9,1.3733309962505541e-08,Sigmoid,0.050584565848112106,372.47891783714294
54,0.06924453377723694,COMPLETE,Sigmoid,128,0.86,0.99,11,0.0029638723057044012,8,1.5087428296258282e-08,Sigmoid,0.0694284662604332,353.90380120277405
55,0.08097512274980545,COMPLETE,Sigmoid,128,0.85,0.99,10,0.0029346649526306363,8,1.9397517317816073e-08,Sigmoid,0.07335592806339264,353.1045997142792
56,0.9064810276031494,PRUNED,Tanh,128,0.86,0.994,11,0.004795886918823741,7,1.3436094974414907e-08,,,
57,0.06179056316614151,COMPLETE,Sigmoid,128,0.87,0.983,9,0.0074557455422670825,9,1.0500335138664497e-08,Sigmoid,0.057751767337322235,372.2308268547058
58,4.979617118835449,PRUNED,Sigmoid,128,0.87,0.999,9,0.006735072807413496,10,1.0255305929037045e-08,,,
59,2.215573310852051,PRUNED,Sigmoid,128,0.87,0.983,8,0.00956790780436479,9,1.5286127240383927e-08,,,
60,0.365558922290802,COMPLETE,Tanh,128,0.98,0.991,9,0.003808816856881092,5,3.620834595612245e-08,Tanh,0.3686019480228424,259.0471260547638
61,0.19426098465919495,COMPLETE,Sigmoid,128,0.89,0.986,7,0.006946939411692066,6,2.7269472548565776e-08,Sigmoid,0.20691953599452972,297.35996198654175
62,0.0686568021774292,COMPLETE,Sigmoid,128,0.85,0.981,11,0.002715700022597971,8,6.006113045278676e-08,Sigmoid,0.06421808153390884,352.9623212814331
63,0.11862906068563461,COMPLETE,Sigmoid,128,0.86,0.989,11,0.0029670790299856187,10,5.950433471977612e-08,Sigmoid,0.118373341858387,398.705206155777
64,0.08959542959928513,COMPLETE,Sigmoid,128,0.86,0.983,11,0.004836539086626177,7,1.6999327992600222e-08,Sigmoid,0.08697621524333954,324.3909411430359
65,0.03745005279779434,COMPLETE,Sigmoid,128,0.85,0.985,12,0.0025274139591609933,9,1.0091019167553692e-08,Sigmoid,0.04088205099105835,370.0423951148987
66,0.12042167782783508,COMPLETE,Sigmoid,128,0.85,0.976,12,0.0053969145385090785,9,6.419448260962343e-08,Sigmoid,0.11793036758899689,370.1562547683716
67,0.10120540112257004,COMPLETE,Sigmoid,128,0.85,0.981,12,0.002415087427044078,10,2.8142750946086468e-08,Sigmoid,0.10122553259134293,397.4700880050659
68,292.16571044921875,PRUNED,Sigmoid,1024,0.9299999999999999,0.985,8,0.0014436925155343985,12,3.7298678346026034e-08,,,
69,3.1958978176116943,COMPLETE,Sigmoid,128,0.87,0.982,12,0.007979923563872064,6,1.027536599459663e-08,Sigmoid,3.1921472549438477,299.42088294029236
70,0.08134233951568604,COMPLETE,Sigmoid,128,0.85,0.987,7,0.0037970121266536374,8,2.2201593965192392e-07,Sigmoid,0.07517877221107483,356.8639121055603
71,206.75494384765625,PRUNED,Tanh,256,0.97,0.984,9,0.0005255162626930567,9,4.9478962089631515e-08,,,
72,0.5573031306266785,PRUNED,Sigmoid,128,0.86,0.992,11,0.002639950805331356,8,1.4985484818423033e-08,,,
73,0.10874145478010178,COMPLETE,Sigmoid,128,0.86,0.989,10,0.0032969657399944223,7,7.179494468853502e-05,Sigmoid,0.0977640226483345,323.45561695098877
74,273.58056640625,PRUNED,Sigmoid,128,0.87,0.961,12,1.1024338531653197e-05,8,1.8863122752981874e-08,,,
75,217.75167846679688,PRUNED,Sigmoid,1024,0.85,0.985,11,0.0016436333478248382,9,1.3114650723370408e-08,,,
76,13.684022903442383,PRUNED,Sigmoid,128,0.88,0.987,8,0.001093191559710599,11,2.4431274834507994e-08,,,
77,30.226303100585938,PRUNED,Sigmoid,128,0.86,0.994,11,0.0008279617780806578,7,7.459735189004327e-08,,,
78,284.9227600097656,PRUNED,Sigmoid,1024,0.87,0.98,12,1.832679151038699e-05,5,1.3844361523920406e-07,,,
79,0.1405920535326004,COMPLETE,Sigmoid,128,0.85,0.988,11,0.004290553913714443,10,1.0159460736958223e-08,Sigmoid,0.14484377205371857,400.8900420665741
80,5.3916425704956055,PRUNED,Sigmoid,256,0.86,0.983,10,0.0027380466091710097,9,3.260362775704572e-07,,,
81,1.43971848487854,PRUNED,Sigmoid,128,0.85,0.996,9,0.001330363319422501,3,0.0008614801646195957,,,
82,0.08617214858531952,COMPLETE,Sigmoid,64,0.85,0.981,10,0.0020410324783656886,8,1.0592964501333331e-07,Sigmoid,0.09349733591079712,691.7528138160706
83,218.43914794921875,PRUNED,Sigmoid,1024,0.94,0.978,10,0.002131034414150509,8,1.7081666494252489e-07,,,
84,0.09938429296016693,COMPLETE,Sigmoid,128,0.86,0.98,12,0.0017076126938687488,7,4.205796707044516e-08,Sigmoid,0.09478770941495895,323.66219305992126
85,0.07729821652173996,COMPLETE,Sigmoid,64,0.85,0.99,11,0.0034377052783839445,8,2.9563504433581137e-08,Sigmoid,0.08042408525943756,695.2263596057892
86,0.07656791806221008,COMPLETE,Sigmoid,64,0.87,0.99,11,0.0033983522409644076,9,2.910433960510994e-08,Sigmoid,0.07548268884420395,732.0569632053375
87,0.13900978863239288,COMPLETE,Sigmoid,128,0.9,0.99,11,0.004486975440348803,10,2.0996857206335204e-08,Sigmoid,0.13596177101135254,399.9382588863373
88,1.9233778715133667,COMPLETE,Sigmoid,64,0.87,0.993,12,0.00570418983984589,11,1.4588274486851835e-08,Sigmoid,1.9337728023529053,817.3213348388672
89,11.726564407348633,PRUNED,Sigmoid,1024,0.86,0.992,11,0.007729763847900612,9,4.027623532494936e-08,,,
90,70.90036010742188,PRUNED,Tanh,512,0.88,0.986,8,0.0025896447972430653,6,5.602797467626194e-08,,,
91,0.07111689448356628,COMPLETE,Sigmoid,128,0.87,0.985,9,0.003999744479309186,9,7.785381426596353e-08,Sigmoid,0.07177849858999252,371.772479057312
92,0.37454867362976074,PRUNED,Sigmoid,128,0.87,0.95,9,0.0030518990507379775,9,2.075991720989265e-07,,,
93,0.5760452747344971,PRUNED,Sigmoid,128,0.87,0.985,7,0.004105022853175872,9,7.021212262417126e-07,,,
94,332.8440246582031,PRUNED,Sigmoid,128,0.88,0.987,10,9.970883944816548e-05,13,1.7903048916077406e-08,,,
95,0.08157806098461151,COMPLETE,Sigmoid,128,0.86,0.984,8,0.005294335208958932,10,8.181109227314708e-08,Sigmoid,0.07315818965435028,396.59339118003845
96,0.07454991340637207,COMPLETE,Sigmoid,64,0.86,0.973,9,0.002213169704599662,10,2.7322156025880706e-08,Sigmoid,0.0721992701292038,790.1337881088257
97,0.06061743199825287,COMPLETE,Sigmoid,128,0.86,0.972,9,0.0016167435828830846,11,1.2878033700483312e-08,Sigmoid,0.06941168010234833,418.6551411151886
98,0.7519126534461975,PRUNED,Sigmoid,128,0.85,0.966,9,0.0015587479593529947,12,1.3755207223531783e-08,,,
