learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-05,True,12,12,Sigmoid,0.046193644404411316,0.1125677227973938,1024,3
0.01,1e-06,True,16,12,Sigmoid,0.04043322056531906,0.11413609981536865,1024,3
0.01,1e-07,True,20,24,Sigmoid,0.05089912563562393,0.11834172904491425,512,5
0.01,1e-06,True,20,12,Sigmoid,0.047279052436351776,0.12053763121366501,1024,3
0.01,1e-06,True,16,6,Sigmoid,0.04124393314123154,0.12067268788814545,1024,1
0.01,0.0001,True,12,12,Sigmoid,0.044457048177719116,0.12324224412441254,512,2
0.01,1e-06,True,16,24,Sigmoid,0.06386230885982513,0.12792052328586578,1024,5
0.01,1e-05,True,20,24,Sigmoid,0.03410464525222778,0.12868721783161163,1024,6
0.01,1e-05,True,8,6,Sigmoid,0.05827132612466812,0.1296951323747635,1024,1
0.01,1e-06,True,12,24,Sigmoid,0.06812164187431335,0.1333797723054886,1024,5
0.01,1e-07,True,16,12,Sigmoid,0.034182727336883545,0.13383987545967102,512,2
0.01,1e-07,True,12,12,Sigmoid,0.045525193214416504,0.13403668999671936,512,2
0.01,1e-07,True,20,24,Sigmoid,0.08145260810852051,0.13420546054840088,1024,6
0.01,1e-07,True,20,6,Sigmoid,0.04143586754798889,0.13558180630207062,1024,1
0.01,1e-07,True,8,24,Sigmoid,0.05806791037321091,0.14014969766139984,512,4
0.01,1e-07,True,16,24,Sigmoid,0.09455820918083191,0.14102481305599213,1024,5
0.01,0.0001,True,20,24,Sigmoid,0.04036949947476387,0.14151889085769653,1024,6
0.01,0.0001,True,20,12,Sigmoid,0.025617999956011772,0.1427302360534668,1024,3
0.01,1e-06,True,12,6,Sigmoid,0.036226872354745865,0.14352259039878845,1024,1
0.01,1e-07,True,12,12,Sigmoid,0.04432448372244835,0.1436762660741806,1024,3
0.01,0.0001,True,16,6,Sigmoid,0.05228567123413086,0.14445091784000397,512,1
0.01,0.0001,True,12,24,Sigmoid,0.06787968426942825,0.14502182602882385,1024,5
0.01,1e-05,True,20,6,Sigmoid,0.03228691592812538,0.14534814655780792,1024,1
0.01,1e-06,True,12,24,Sigmoid,0.06626075506210327,0.14574456214904785,512,4
0.01,1e-07,True,20,12,Sigmoid,0.07543881237506866,0.14827996492385864,1024,3
0.01,0.0001,True,12,12,Sigmoid,0.04987684637308121,0.1483665406703949,1024,3
0.01,1e-06,True,8,24,Sigmoid,0.07997654378414154,0.15054155886173248,1024,5
0.01,0.0001,True,12,6,Sigmoid,0.045086827129125595,0.1521422266960144,1024,1
0.01,1e-06,True,20,12,Sigmoid,0.045312121510505676,0.15608258545398712,512,2
0.01,1e-06,True,8,12,Sigmoid,0.09182612597942352,0.15633940696716309,1024,2
0.01,1e-07,True,16,12,Sigmoid,0.09297607839107513,0.15739479660987854,1024,3
0.01,1e-06,True,20,24,Sigmoid,0.0366385318338871,0.15917997062206268,512,5
0.01,1e-07,True,12,6,Sigmoid,0.04654063284397125,0.16036774218082428,512,1
0.01,0.0001,True,20,24,Sigmoid,0.03822604939341545,0.16102412343025208,512,5
0.01,1e-07,True,16,6,Sigmoid,0.08138090372085571,0.16136999428272247,1024,1
0.01,0.0001,True,16,24,Sigmoid,0.042075589299201965,0.1616232693195343,512,4
0.01,1e-05,True,16,24,Sigmoid,0.10331157594919205,0.16312313079833984,1024,5
0.01,1e-06,True,16,24,Sigmoid,0.05768013000488281,0.16510814428329468,512,4
