learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.01,1e-07,True,18,12,Sigmoid,3.030099868774414,2.982682943344116,1024
0.01,1e-06,True,20,24,Sigmoid,2.920745372772217,2.990525245666504,128
0.01,1e-05,True,20,6,Sigmoid,3.158548593521118,3.0507965087890625,256
0.01,1e-07,True,20,6,Sigmoid,3.2172627449035645,3.062591791152954,256
0.01,1e-07,True,20,24,Sigmoid,3.3006811141967773,3.079622983932495,256
0.01,1e-07,True,20,24,Sigmoid,3.3103268146514893,3.203695774078369,1024
0.01,1e-07,True,20,6,Sigmoid,3.394155740737915,3.338690996170044,1024
0.01,1e-06,True,20,6,Sigmoid,3.5120296478271484,3.5177507400512695,512
0.01,1e-06,True,20,6,Sigmoid,3.6019821166992188,3.537121534347534,1024
0.01,1e-07,True,20,6,Sigmoid,3.613369941711426,3.5856926441192627,512
0.01,1e-06,True,18,12,Sigmoid,3.458068370819092,3.6405162811279297,64
0.01,1e-07,True,20,24,Sigmoid,3.713549852371216,3.710587501525879,128
0.01,1e-06,True,20,12,Sigmoid,3.8492307662963867,3.7962889671325684,1024
0.01,0.0001,True,20,24,Sigmoid,4.140614032745361,3.823786735534668,256
0.01,1e-05,True,20,24,Sigmoid,3.3487281799316406,3.8467180728912354,32
0.01,0.0001,True,20,12,Sigmoid,3.999687433242798,3.8513128757476807,256
0.01,1e-06,True,20,24,Sigmoid,3.7248079776763916,3.8944056034088135,64
0.01,1e-07,True,20,6,Sigmoid,3.855175495147705,3.9133336544036865,128
0.01,0.0001,True,20,6,Sigmoid,4.080929756164551,3.9200491905212402,256
0.01,1e-06,True,18,12,Sigmoid,4.232402801513672,3.982888698577881,256
0.01,1e-07,True,20,12,Sigmoid,3.7434284687042236,4.006380081176758,64
0.01,1e-07,True,20,12,Sigmoid,4.090694904327393,4.027115345001221,512
0.01,1e-06,True,20,12,Sigmoid,4.155780792236328,4.0542802810668945,256
0.01,1e-06,True,20,12,Sigmoid,4.169824600219727,4.08722448348999,512
0.01,0.0001,True,20,12,Sigmoid,4.159905433654785,4.094325065612793,512
0.01,1e-05,True,20,12,Sigmoid,3.7778048515319824,4.100622177124023,64
0.01,1e-05,True,20,24,Sigmoid,3.074090003967285,4.130494594573975,16
0.01,1e-06,True,20,24,Sigmoid,4.245849132537842,4.1390275955200195,1024
0.01,1e-05,True,18,24,Sigmoid,4.178136825561523,4.139777183532715,128
0.01,1e-06,True,20,24,Sigmoid,4.464120388031006,4.1594343185424805,256
0.01,1e-07,True,20,12,Sigmoid,4.165525436401367,4.162721157073975,128
0.01,0.0001,True,18,12,Sigmoid,4.369162559509277,4.199953079223633,256
0.01,0.0001,True,20,6,Sigmoid,3.7984561920166016,4.23332405090332,64
0.01,0.0001,True,20,24,Sigmoid,4.361583709716797,4.258606910705566,512
0.01,1e-07,True,20,24,Sigmoid,3.237302303314209,4.293380260467529,16
0.01,1e-05,True,20,12,Sigmoid,4.395732879638672,4.335450172424316,1024
0.01,1e-05,True,20,12,Sigmoid,4.5752058029174805,4.359541893005371,256
0.01,0.0001,True,20,12,Sigmoid,4.472152233123779,4.363712310791016,1024
0.01,1e-07,True,18,6,Sigmoid,4.143720626831055,4.385071754455566,128
0.01,0.0001,True,20,24,Sigmoid,4.469054222106934,4.419806003570557,128
0.01,1e-07,True,20,24,Sigmoid,4.021373271942139,4.425760269165039,32
0.01,1e-06,True,20,24,Sigmoid,3.955894708633423,4.445918083190918,32
0.01,1e-06,True,20,6,Sigmoid,4.593756675720215,4.451321601867676,256
