optimizer,learning_rate,weight_decay,beta_1,beta_2,eps,num_epochs,batch_size,layer_depth,n_layers,activation_function,train_error,test_error,training_set_size,train_time,version,scenario
adam,0.01,1e-07,0.9,0.99,1e-08,2000,512.0,16,6,Sigmoid,0.024215923622250557,0.031152449548244476,1024,13,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.013888454996049404,0.03121311031281948,1024,5,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,512.0,16,6,Sigmoid,0.0260901041328907,0.03155260533094406,1024,13,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.03036922588944435,0.033096909523010254,1024,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.022881319746375084,0.03560193255543709,512,4,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,512.0,8,6,Sigmoid,0.04504591226577759,0.03626029193401337,1024,13,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,512.0,8,12,Sigmoid,0.04108240455389023,0.0385265052318573,1024,21,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.014527292922139168,0.03898033872246742,512,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.016633430495858192,0.03914699703454971,512,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.013179754838347435,0.03988869488239288,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.0322202667593956,0.0406552217900753,1024,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.0317264199256897,0.041304074227809906,1024,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.020492037758231163,0.042019039392471313,1024,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.017308378592133522,0.04274289309978485,1024,5,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.01908663660287857,0.04338308051228523,1024,5,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.027073433622717857,0.04384665563702583,1024,5,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.02635502815246582,0.044254932552576065,512,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.03120974637567997,0.04555908590555191,1024,5,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.02519794926047325,0.04602779448032379,1024,5,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,512.0,8,6,Sigmoid,0.03358633443713188,0.04695595055818558,1024,13,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.020568540319800377,0.04706849530339241,512,4,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,256.0,4,12,Sigmoid,0.04949048534035683,0.04717344790697098,1024,37,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.026400038972496986,0.0476357527077198,512,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.013595214113593102,0.047946132719516754,512,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.044984783977270126,0.04862631484866142,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.05346154421567917,0.0501379519701004,1024,21,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.03251710906624794,0.05017704516649246,1024,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,12,Sigmoid,0.026776544749736786,0.051482249051332474,1024,13,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,256.0,8,6,Sigmoid,0.04200303554534912,0.052199721336364746,512,10,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,256.0,8,6,Sigmoid,0.041179172694683075,0.052502598613500595,1024,21,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.02018200047314167,0.052613288164138794,512,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,512.0,8,12,Sigmoid,0.04041954129934311,0.05293387547135353,1024,21,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.03433536738157272,0.05345160514116287,1024,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,12,Sigmoid,0.03335629403591156,0.054125383496284485,1024,15,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.04207944869995117,0.054459817707538605,1024,21,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,512.0,16,6,Sigmoid,0.05416812747716904,0.054743390530347824,1024,13,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,8,12,Sigmoid,0.05523388087749481,0.055247798562049866,1024,72,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.015399942174553871,0.055775586515665054,512,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.030957382172346115,0.05716222524642944,1024,5,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.03391712158918381,0.05751020088791847,1024,4,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,512.0,4,12,Sigmoid,0.04884228855371475,0.05758717656135559,1024,21,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.023656893521547318,0.058168135583400726,1024,5,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,256.0,4,6,Sigmoid,0.049896594136953354,0.05840281397104263,512,10,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.02201128378510475,0.0587315671145916,512,4,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.023558413609862328,0.05876976251602173,512,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,256.0,8,6,Sigmoid,0.05071922391653061,0.059146493673324585,512,10,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.04039933532476425,0.059411242604255676,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,12,Sigmoid,0.035569895058870316,0.059760287404060364,512,8,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.036780986934900284,0.05977306514978409,256,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,8,6,Sigmoid,0.05391117185354233,0.05997045710682869,1024,21,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.046948209404945374,0.060876745730638504,1024,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,4,12,Sigmoid,0.056455086916685104,0.060972392559051514,1024,38,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,512.0,4,6,Sigmoid,0.05910434573888779,0.06098020821809769,1024,13,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.04945341870188713,0.06130430847406387,1024,21,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.026909900829195976,0.06149360537528992,512,4,1,projectile
