learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.01,1e-05,True,20,6,Sigmoid,2.2751550674438477,2.5177061557769775,256
0.01,0.0001,True,20,12,Sigmoid,2.50809383392334,2.539816379547119,1024
0.01,1e-07,True,20,24,Sigmoid,2.7671234607696533,2.879528045654297,128
0.01,1e-06,True,18,24,Sigmoid,2.884458541870117,2.943073272705078,512
0.01,0.0001,True,18,24,Sigmoid,3.054074287414551,3.1752219200134277,256
0.01,0.0001,True,20,12,Sigmoid,2.4190053939819336,3.290835380554199,32
0.01,1e-07,True,20,6,Sigmoid,3.268927574157715,3.3114447593688965,1024
0.01,1e-06,True,20,6,Sigmoid,3.2504215240478516,3.4271154403686523,256
0.01,1e-07,True,20,24,Sigmoid,3.446314811706543,3.4672093391418457,512
0.01,1e-06,True,18,24,Sigmoid,3.5500128269195557,3.564582586288452,1024
0.01,1e-05,True,20,24,Sigmoid,3.565640449523926,3.654270887374878,128
0.01,1e-05,True,20,12,Sigmoid,3.619586944580078,3.7000889778137207,512
0.01,1e-05,True,20,24,Sigmoid,3.4980015754699707,3.7167482376098633,64
0.01,1e-05,True,20,24,Sigmoid,3.7159790992736816,3.72824764251709,512
0.01,1e-05,True,18,6,Sigmoid,3.8193600177764893,3.8633580207824707,1024
0.01,0.0001,True,20,24,Sigmoid,3.648407220840454,3.8646340370178223,64
0.01,1e-06,True,20,12,Sigmoid,3.813986301422119,3.92234468460083,512
0.01,0.0001,True,20,6,Sigmoid,3.8806681632995605,3.9252309799194336,1024
0.01,1e-07,True,16,24,Sigmoid,3.867723226547241,3.9395692348480225,512
0.01,0.0001,True,20,6,Sigmoid,3.8225045204162598,3.961028814315796,256
0.01,1e-05,True,20,24,Sigmoid,3.8560924530029297,3.968809127807617,256
0.01,0.0001,True,20,6,Sigmoid,3.581949234008789,3.9741971492767334,128
0.01,1e-05,True,20,24,Sigmoid,3.97768235206604,3.9845733642578125,1024
0.01,0.0001,True,18,24,Sigmoid,3.9179296493530273,3.993452548980713,64
0.01,1e-07,True,20,12,Sigmoid,3.7103376388549805,4.015310287475586,64
0.01,1e-06,True,20,12,Sigmoid,3.9335620403289795,4.05711555480957,256
0.01,1e-06,True,18,12,Sigmoid,3.9105875492095947,4.0625786781311035,256
0.01,1e-06,True,20,6,Sigmoid,4.012577056884766,4.086520671844482,1024
0.01,0.0001,True,20,24,Sigmoid,3.391575336456299,4.1071062088012695,16
0.01,1e-06,True,20,24,Sigmoid,3.605193853378296,4.16779899597168,32
0.01,0.0001,True,20,12,Sigmoid,3.9708352088928223,4.191341876983643,128
0.01,1e-05,True,20,12,Sigmoid,2.9002909660339355,4.19861364364624,16
0.01,1e-07,True,20,24,Sigmoid,4.045675754547119,4.205671787261963,32
0.01,1e-05,True,16,6,Sigmoid,4.203980922698975,4.301013469696045,512
0.01,1e-05,True,20,12,Sigmoid,4.175549507141113,4.3320207595825195,128
0.01,1e-06,True,20,12,Sigmoid,4.283635139465332,4.349506378173828,128
0.01,1e-05,True,18,12,Sigmoid,4.2241644859313965,4.390195846557617,256
0.01,1e-07,True,20,6,Sigmoid,4.298653602600098,4.3942461013793945,512
0.01,1e-07,True,18,6,Sigmoid,4.350604057312012,4.413848876953125,1024
