learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-07,True,20,12,Sigmoid,0.035996776074171066,0.026750272139906883,1024,7
0.01,1e-07,True,16,6,Sigmoid,0.031658366322517395,0.026921086013317108,1024,3
0.01,1e-05,True,20,6,Sigmoid,0.039836954325437546,0.030400842428207397,1024,3
0.01,1e-07,True,20,6,Sigmoid,0.014647932723164558,0.03279833868145943,1024,3
0.01,1e-06,True,20,6,Sigmoid,0.014182488434016705,0.033489786088466644,1024,3
0.01,1e-06,True,20,24,Sigmoid,0.03803171217441559,0.03692459315061569,1024,13
0.01,1e-05,True,20,6,Sigmoid,0.01812831126153469,0.037307560443878174,512,3
0.01,1e-06,True,12,6,Sigmoid,0.021790310740470886,0.03771744668483734,1024,3
0.01,1e-05,True,20,24,Sigmoid,0.01573844626545906,0.03816557675600052,1024,13
0.01,0.0001,True,20,6,Sigmoid,0.01563195139169693,0.038284290581941605,1024,3
0.01,0.0001,True,12,6,Sigmoid,0.016509048640727997,0.04013728350400925,1024,3
0.01,1e-05,True,16,6,Sigmoid,0.016723379492759705,0.04046757146716118,1024,3
0.01,1e-06,True,20,12,Sigmoid,0.0167938694357872,0.0408213809132576,1024,8
0.01,0.0001,True,12,24,Sigmoid,0.022104574367403984,0.041398607194423676,1024,11
0.01,0.0001,True,20,12,Sigmoid,0.01785130426287651,0.04278651252388954,1024,6
0.01,1e-07,True,20,6,Sigmoid,0.02069462463259697,0.042881354689598083,512,2
0.01,1e-07,True,12,6,Sigmoid,0.026349306106567383,0.045102570205926895,1024,3
0.01,1e-07,True,16,6,Sigmoid,0.023269278928637505,0.04681131988763809,512,2
0.01,1e-05,True,16,6,Sigmoid,0.015194594860076904,0.04704867675900459,512,2
0.01,0.0001,True,12,6,Sigmoid,0.01986727863550186,0.047250911593437195,512,2
0.01,0.0001,True,12,12,Sigmoid,0.015133054926991463,0.04740271344780922,512,4
0.01,1e-06,True,8,24,Sigmoid,0.025363966822624207,0.047564487904310226,1024,10
0.01,1e-05,True,12,6,Sigmoid,0.023485606536269188,0.047714028507471085,512,2
0.01,0.0001,True,16,12,Sigmoid,0.025690166279673576,0.04882076382637024,1024,6
0.01,1e-07,True,20,12,Sigmoid,0.019368357956409454,0.04892731457948685,512,5
0.01,1e-05,True,16,12,Sigmoid,0.019918061792850494,0.05083421245217323,1024,6
0.01,1e-05,True,20,12,Sigmoid,0.022040896117687225,0.05201951786875725,1024,7
0.01,1e-06,True,12,24,Sigmoid,0.04214158281683922,0.05209667235612869,1024,11
0.01,1e-05,True,16,24,Sigmoid,0.02183893695473671,0.05243965983390808,1024,12
0.01,1e-06,True,20,12,Sigmoid,0.02916155941784382,0.05267684906721115,512,5
0.01,0.0001,True,16,24,Sigmoid,0.049648527055978775,0.05309911072254181,1024,11
0.01,1e-05,True,12,12,Sigmoid,0.02238069847226143,0.053319357335567474,1024,6
0.01,1e-06,True,16,6,Sigmoid,0.014805618673563004,0.054722853004932404,512,2
0.01,1e-05,True,12,6,Sigmoid,0.04754938185214996,0.05498039722442627,1024,3
0.01,1e-06,True,16,24,Sigmoid,0.04255983233451843,0.05506012961268425,1024,12
0.01,1e-05,True,8,6,Sigmoid,0.044067174196243286,0.05578884482383728,1024,2
0.01,1e-07,True,16,12,Sigmoid,0.04624485969543457,0.05601157248020172,1024,5
0.01,1e-06,True,8,6,Sigmoid,0.03047212027013302,0.05634939298033714,512,2
0.01,0.0001,True,20,6,Sigmoid,0.01472184993326664,0.05676057189702988,512,2
0.01,1e-07,True,12,6,Sigmoid,0.018512731418013573,0.05723290517926216,512,2
0.01,0.0001,True,16,6,Sigmoid,0.04352584853768349,0.05748792365193367,512,2
0.01,1e-06,True,12,24,Sigmoid,0.021590163931250572,0.057772476226091385,512,9
