dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,sum_sines
0.5,0.5,0.5,0.5,0.5,0.5,2.876553231625218
0.75,0.25,0.75,0.25,0.75,0.25,2.787128157833571
0.25,0.75,0.25,0.75,0.25,0.75,2.7871281578335707
0.375,0.375,0.625,0.125,0.875,0.875,2.9774040689698387
0.875,0.875,0.125,0.625,0.375,0.375,2.9774040689698387
0.625,0.125,0.375,0.375,0.125,0.625,2.1520890708234752
0.125,0.625,0.875,0.875,0.625,0.125,2.9546310171234342
0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,2.155593376236591
0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,2.9700940851566138
0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,2.9390389796841054
0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,2.975204269307682
0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,2.9829105056040146
0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,2.960270933163374
0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,3.0373006363142303
0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,2.0594486353033736
0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,2.3022692175723143
0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,3.9591766676583333
0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,1.8136023550894436
0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,2.755805722488672
0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,2.543306902851576
0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,3.2846221059037406
0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,2.9044995577362855
0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,2.926739599763505
0.15625,0.15625,0.53125,0.84375,0.84375,0.40625,2.7072904984734922
0.65625,0.65625,0.03125,0.34375,0.34375,0.90625,2.712781853513364
0.90625,0.40625,0.28125,0.59375,0.09375,0.15625,2.2686215844756554
0.40625,0.90625,0.78125,0.09375,0.59375,0.65625,3.149767428586088
0.28125,0.28125,0.15625,0.96875,0.21875,0.53125,2.258527976642133
