learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.01,0.0001,True,16,6,Sigmoid,0.038730233907699585,0.039458923041820526,4096
0.01,1e-07,True,16,12,Sigmoid,0.04096386209130287,0.04732430726289749,2048
0.01,1e-06,True,16,6,Sigmoid,0.0488375723361969,0.050773873925209045,8192
0.01,1e-05,True,16,6,Sigmoid,0.050151534378528595,0.05238527059555054,8192
0.01,1e-07,True,16,6,Sigmoid,0.05037420243024826,0.053039856255054474,4096
0.01,1e-06,True,16,12,Sigmoid,0.049137283116579056,0.05331859737634659,2048
0.01,1e-07,True,16,12,Sigmoid,0.04459076374769211,0.05397645756602287,1024
0.01,1e-05,True,8,12,Sigmoid,0.05195368453860283,0.05518705025315285,2048
0.01,1e-07,True,4,6,Sigmoid,0.057214949280023575,0.0553603321313858,1024
0.01,1e-05,True,16,6,Sigmoid,0.05029207468032837,0.05542458966374397,2048
0.01,1e-05,True,16,12,Sigmoid,0.05493946373462677,0.05550627037882805,8192
0.01,1e-05,True,16,12,Sigmoid,0.052614204585552216,0.056051455438137054,2048
0.01,0.0001,True,16,6,Sigmoid,0.05236933007836342,0.05683599412441254,2048
0.01,1e-07,True,16,12,Sigmoid,0.0549614317715168,0.057228267192840576,4096
0.01,1e-07,True,16,6,Sigmoid,0.045756250619888306,0.05738895386457443,1024
0.01,1e-05,True,16,12,Sigmoid,0.05614077299833298,0.058127522468566895,4096
0.01,1e-07,True,16,6,Sigmoid,0.05416039377450943,0.05816623196005821,2048
0.01,0.0001,True,16,6,Sigmoid,0.05130322650074959,0.059681281447410583,1024
0.01,1e-05,True,16,12,Sigmoid,0.048272863030433655,0.060908377170562744,1024
0.01,1e-07,True,16,6,Sigmoid,0.059211038053035736,0.06123422458767891,8192
0.01,1e-05,True,8,12,Sigmoid,0.05398967117071152,0.06239546835422516,1024
0.01,0.0001,True,16,6,Sigmoid,0.059118662029504776,0.06262551248073578,8192
0.01,1e-06,True,16,6,Sigmoid,0.05056343227624893,0.06325411796569824,1024
0.01,1e-05,True,16,6,Sigmoid,0.06189720332622528,0.06330949813127518,4096
0.01,0.0001,True,8,24,Sigmoid,0.06376796960830688,0.06341368705034256,8192
0.01,1e-06,True,16,6,Sigmoid,0.06153973937034607,0.06348635256290436,4096
0.01,1e-06,True,16,24,Sigmoid,0.05966678634285927,0.06371244788169861,4096
0.01,1e-07,True,8,12,Sigmoid,0.06282055377960205,0.06392384320497513,8192
0.01,1e-06,True,16,12,Sigmoid,0.06276686489582062,0.06411241739988327,4096
0.01,1e-05,True,16,24,Sigmoid,0.06292545050382614,0.06461551040410995,8192
0.01,1e-06,True,16,12,Sigmoid,0.06479254364967346,0.06663418561220169,8192
0.01,0.0001,True,16,12,Sigmoid,0.05531743913888931,0.06705021858215332,1024
0.01,0.0001,True,8,6,Sigmoid,0.06508767604827881,0.06753608584403992,4096
0.01,0.0001,True,16,12,Sigmoid,0.06915347278118134,0.06866921484470367,8192
0.01,1e-06,True,8,6,Sigmoid,0.07088401168584824,0.0691027045249939,1024
0.01,1e-06,True,16,6,Sigmoid,0.06579137593507767,0.06983232498168945,2048
0.01,1e-06,True,8,12,Sigmoid,0.06491827219724655,0.06995432078838348,2048
0.01,0.0001,True,8,6,Sigmoid,0.06780534982681274,0.07062755525112152,1024
0.01,1e-05,True,16,6,Sigmoid,0.052539974451065063,0.0710284560918808,1024
0.01,1e-05,True,16,24,Sigmoid,0.05686831846833229,0.0713278278708458,1024
0.01,1e-05,True,8,6,Sigmoid,0.07268685847520828,0.07239297032356262,4096
0.01,0.0001,True,16,12,Sigmoid,0.06553523242473602,0.07251746207475662,2048
0.01,1e-07,True,16,6,Sigmoid,0.051501013338565826,0.0727090835571289,512
0.01,0.0001,True,16,24,Sigmoid,0.06980398297309875,0.0728638768196106,4096
0.01,1e-07,True,8,6,Sigmoid,0.07005327939987183,0.07382333278656006,1024
0.01,1e-05,True,8,6,Sigmoid,0.07313208281993866,0.07418185472488403,8192
0.01,0.0001,True,8,12,Sigmoid,0.07357046008110046,0.07519359141588211,8192
0.01,0.0001,True,16,6,Sigmoid,0.05157814919948578,0.07540047913789749,512
0.01,1e-06,True,16,24,Sigmoid,0.07104755192995071,0.07564160227775574,2048
0.01,1e-07,True,8,6,Sigmoid,0.0676441565155983,0.07594209909439087,512
0.01,1e-07,True,16,12,Sigmoid,0.04451529681682587,0.07675164937973022,512
0.01,1e-06,True,16,6,Sigmoid,0.0503808930516243,0.07690803706645966,512
0.01,1e-06,True,16,12,Sigmoid,0.06204022467136383,0.07745713740587234,1024
0.01,1e-07,True,16,24,Sigmoid,0.0747498869895935,0.07763107120990753,8192
0.01,0.0001,True,16,6,Sigmoid,0.03698035702109337,0.07782621681690216,256
0.01,1e-07,True,16,24,Sigmoid,0.06878575682640076,0.07800640910863876,2048
0.01,1e-05,True,4,6,Sigmoid,0.07951034605503082,0.0781034305691719,8192
0.01,0.0001,True,8,6,Sigmoid,0.06341596692800522,0.07824461907148361,512
0.01,1e-06,True,16,24,Sigmoid,0.05968078225851059,0.07907869666814804,1024
0.01,0.0001,True,8,12,Sigmoid,0.0710708498954773,0.07978255301713943,2048
0.01,0.0001,True,16,24,Sigmoid,0.06161554530262947,0.08044075965881348,1024
0.01,1e-05,True,16,6,Sigmoid,0.05683647468686104,0.08068756014108658,512
0.01,1e-06,True,8,6,Sigmoid,0.07987861335277557,0.08117605745792389,4096
0.01,1e-06,True,16,6,Sigmoid,0.045149654150009155,0.08162520825862885,256
0.01,0.0001,True,16,24,Sigmoid,0.07402713596820831,0.08183425664901733,2048
0.01,1e-05,True,16,12,Sigmoid,0.051088474690914154,0.08220712840557098,512
0.01,1e-06,True,4,6,Sigmoid,0.07985344529151917,0.08242128789424896,2048
0.01,1e-07,True,16,12,Sigmoid,0.08072558045387268,0.08262994140386581,8192
0.01,1e-06,True,8,24,Sigmoid,0.07581926882266998,0.08282139152288437,2048
0.01,1e-06,True,16,24,Sigmoid,0.07859307527542114,0.08292953670024872,8192
0.01,1e-05,True,8,6,Sigmoid,0.08763211965560913,0.08421488106250763,1024
0.01,1e-07,True,8,6,Sigmoid,0.0821753591299057,0.08496341109275818,2048
0.01,1e-05,True,8,12,Sigmoid,0.08381786942481995,0.085173100233078,4096
0.01,1e-06,True,16,12,Sigmoid,0.04960343614220619,0.08529916405677795,512
0.01,1e-07,True,16,24,Sigmoid,0.0815201997756958,0.08532056212425232,4096
0.01,1e-05,True,16,6,Sigmoid,0.04474330693483353,0.08564959466457367,256
0.01,0.0001,True,16,12,Sigmoid,0.08076716214418411,0.08578189462423325,4096
0.01,1e-07,True,8,6,Sigmoid,0.08698354661464691,0.08583679050207138,8192
0.01,1e-07,True,8,24,Sigmoid,0.08428662270307541,0.0863851010799408,4096
0.01,1e-05,True,4,12,Sigmoid,0.08276796340942383,0.08639709651470184,512
0.01,0.0001,True,16,12,Sigmoid,0.055940624326467514,0.08686713874340057,512
0.01,1e-06,True,8,6,Sigmoid,0.09024249017238617,0.0874047577381134,8192
0.01,1e-06,True,4,24,Sigmoid,0.08491669595241547,0.08884619176387787,4096
0.01,1e-06,True,4,6,Sigmoid,0.06881400942802429,0.0892348662018776,256
0.01,1e-07,True,16,24,Sigmoid,0.0716693252325058,0.08940465748310089,1024
0.01,1e-07,True,8,12,Sigmoid,0.08732818067073822,0.09043964743614197,2048
0.01,1e-06,True,8,12,Sigmoid,0.08783640712499619,0.09142269939184189,4096
0.01,1e-06,True,8,6,Sigmoid,0.057219263166189194,0.09162788093090057,256
0.01,0.0001,True,8,12,Sigmoid,0.09206490218639374,0.0918722152709961,4096
0.01,0.0001,True,8,24,Sigmoid,0.08927580714225769,0.09234032034873962,4096
0.01,1e-05,True,8,6,Sigmoid,0.09381458163261414,0.09285879880189896,2048
0.01,0.0001,True,8,6,Sigmoid,0.07431729882955551,0.09303615987300873,256
0.01,0.0001,True,4,12,Sigmoid,0.07987591624259949,0.09314166009426117,512
0.01,1e-05,True,16,24,Sigmoid,0.08823613822460175,0.09317910671234131,2048
0.01,1e-07,True,8,12,Sigmoid,0.09038222581148148,0.09342414140701294,4096
0.01,1e-07,True,8,12,Sigmoid,0.06125751882791519,0.09453167021274567,256
0.01,1e-05,True,8,24,Sigmoid,0.09377853572368622,0.0946972668170929,8192
0.01,1e-07,True,8,6,Sigmoid,0.06143505871295929,0.09503677487373352,256
0.01,0.0001,True,8,6,Sigmoid,0.09617771208286285,0.09623733162879944,8192
0.01,1e-07,True,16,6,Sigmoid,0.051116060465574265,0.09623982757329941,256
0.01,1e-06,True,8,12,Sigmoid,0.0734165757894516,0.09663868695497513,512
0.01,1e-06,True,8,6,Sigmoid,0.08628760278224945,0.09673795104026794,512
0.01,1e-06,True,16,24,Sigmoid,0.06434833258390427,0.09827647358179092,512
0.01,1e-07,True,8,24,Sigmoid,0.08914505690336227,0.09843359887599945,2048
0.01,1e-05,True,8,24,Sigmoid,0.08866450935602188,0.09843660145998001,2048
0.01,1e-06,True,8,24,Sigmoid,0.07812771201133728,0.09862229228019714,1024
0.01,1e-06,True,16,12,Sigmoid,0.034884676337242126,0.09900851547718048,256
0.01,1e-07,True,16,24,Sigmoid,0.06519825756549835,0.10013143718242645,512
0.01,0.0001,True,16,6,Sigmoid,0.031771279871463776,0.10025227069854736,128
0.01,1e-05,True,16,6,Sigmoid,0.03596620634198189,0.10112950205802917,128
0.01,1e-07,True,16,12,Sigmoid,0.04483242332935333,0.10162943601608276,256
0.01,0.0001,True,4,6,Sigmoid,0.09958863258361816,0.10220081359148026,2048
0.01,0.0001,True,4,6,Sigmoid,0.10246433317661285,0.1022116094827652,8192
0.01,1e-05,True,8,12,Sigmoid,0.1018751859664917,0.10263299942016602,8192
0.01,1e-05,True,4,12,Sigmoid,0.10086708515882492,0.10283888876438141,4096
0.01,1e-07,True,4,24,Sigmoid,0.08578021079301834,0.10286028683185577,1024
0.01,0.0001,True,16,24,Sigmoid,0.06595203280448914,0.10287347435951233,512
0.01,1e-05,True,16,24,Sigmoid,0.07649147510528564,0.10367250442504883,512
0.01,0.0001,True,16,12,Sigmoid,0.04229554161429405,0.10417206585407257,256
0.01,1e-06,True,16,6,Sigmoid,0.038193076848983765,0.10459941625595093,128
0.01,0.0001,True,4,12,Sigmoid,0.10304585099220276,0.10499580204486847,4096
0.01,1e-05,True,4,6,Sigmoid,0.10607289522886276,0.10520929098129272,4096
0.01,1e-07,True,16,6,Sigmoid,0.047740355134010315,0.10533776134252548,128
0.01,1e-07,True,8,24,Sigmoid,0.10306356847286224,0.10555193573236465,8192
0.01,1e-05,True,8,6,Sigmoid,0.05215759575366974,0.1059611588716507,128
0.01,1e-07,True,8,12,Sigmoid,0.09189297258853912,0.10652316361665726,1024
0.01,1e-06,True,4,24,Sigmoid,0.09709124267101288,0.10661271959543228,512
0.01,1e-06,True,8,24,Sigmoid,0.10563373565673828,0.10661417245864868,4096
0.01,1e-05,True,16,24,Sigmoid,0.10293997824192047,0.10689505934715271,4096
0.01,1e-05,True,8,12,Sigmoid,0.09813899546861649,0.10773137211799622,512
0.01,1e-06,True,4,12,Sigmoid,0.10340525209903717,0.10786595195531845,2048
0.01,1e-05,True,4,12,Sigmoid,0.10500230640172958,0.10817310214042664,8192
0.01,0.0001,True,8,24,Sigmoid,0.0764361321926117,0.1082751527428627,512
0.01,1e-05,True,4,12,Sigmoid,0.1058695986866951,0.10879778861999512,2048
0.01,1e-07,True,16,24,Sigmoid,0.04742295295000076,0.10980695486068726,256
0.01,1e-06,True,8,6,Sigmoid,0.10908478498458862,0.10987932235002518,2048
0.01,0.0001,True,8,12,Sigmoid,0.09072860330343246,0.11139927804470062,512
0.01,0.0001,True,8,24,Sigmoid,0.10466983914375305,0.11202090978622437,2048
0.01,1e-07,True,4,6,Sigmoid,0.11076859384775162,0.11210392415523529,8192
0.01,1e-07,True,4,12,Sigmoid,0.10856426507234573,0.11269037425518036,1024
0.01,1e-07,True,8,12,Sigmoid,0.08962605893611908,0.11322785913944244,512
0.01,1e-05,True,8,6,Sigmoid,0.09470638632774353,0.11324742436408997,256
0.01,1e-07,True,8,6,Sigmoid,0.11253827065229416,0.1141405925154686,4096
0.01,0.0001,True,8,6,Sigmoid,0.05362170189619064,0.11792483925819397,128
0.01,1e-05,True,4,24,Sigmoid,0.11154457926750183,0.11814828217029572,1024
0.01,1e-05,True,16,12,Sigmoid,0.05832662433385849,0.11823102831840515,256
0.01,1e-05,True,4,6,Sigmoid,0.11483307927846909,0.11887969076633453,2048
0.01,0.0001,True,8,6,Sigmoid,0.11631384491920471,0.11998900771141052,2048
0.01,1e-07,True,4,12,Sigmoid,0.11930374801158905,0.12120246142148972,4096
0.01,1e-07,True,8,24,Sigmoid,0.08584224432706833,0.12253598868846893,512
0.01,1e-06,True,16,24,Sigmoid,0.04882266744971275,0.1225380077958107,256
0.01,0.0001,True,8,24,Sigmoid,0.10257379710674286,0.12343896180391312,1024
0.01,1e-05,True,8,24,Sigmoid,0.08439907431602478,0.12401126325130463,512
0.01,0.0001,True,4,6,Sigmoid,0.08559274673461914,0.12530899047851562,128
0.01,0.0001,True,16,24,Sigmoid,0.12492942810058594,0.12562957406044006,8192
0.01,1e-05,True,8,12,Sigmoid,0.06733491271734238,0.1256447285413742,256
0.01,1e-07,True,8,6,Sigmoid,0.05890196934342384,0.1269257366657257,128
0.01,1e-06,True,4,12,Sigmoid,0.12593896687030792,0.12849542498588562,8192
0.01,1e-05,True,4,12,Sigmoid,0.11013861000537872,0.1298888921737671,256
0.01,1e-05,True,4,24,Sigmoid,0.12809155881404877,0.13213977217674255,512
0.01,1e-07,True,8,24,Sigmoid,0.07216311991214752,0.13289214670658112,256
0.01,0.0001,True,8,12,Sigmoid,0.10998627543449402,0.13325460255146027,256
0.01,1e-07,True,4,12,Sigmoid,0.06128467619419098,0.1339627504348755,128
0.01,1e-06,True,16,12,Sigmoid,0.02587910369038582,0.1342652142047882,128
0.01,1e-05,True,8,24,Sigmoid,0.11109314858913422,0.1343095749616623,1024
0.01,1e-05,True,8,24,Sigmoid,0.08052200078964233,0.13445386290550232,256
0.01,0.0001,True,16,12,Sigmoid,0.04189378768205643,0.13449886441230774,128
0.01,1e-05,True,16,24,Sigmoid,0.06318467855453491,0.13465335965156555,256
0.01,1e-06,True,8,6,Sigmoid,0.09021039307117462,0.13468949496746063,128
0.01,0.0001,True,16,24,Sigmoid,0.07230030000209808,0.1348336637020111,256
0.01,1e-06,True,8,24,Sigmoid,0.06743128597736359,0.1373554766178131,256
0.01,0.0001,True,4,12,Sigmoid,0.10675919055938721,0.14010639488697052,128
0.01,1e-05,True,16,24,Sigmoid,0.05116897076368332,0.14027726650238037,128
0.01,1e-06,True,8,12,Sigmoid,0.09306921064853668,0.14077186584472656,256
0.01,1e-05,True,16,12,Sigmoid,0.038303595036268234,0.14371183514595032,128
0.01,1e-07,True,8,24,Sigmoid,0.12053730338811874,0.14375078678131104,1024
0.01,1e-07,True,8,12,Sigmoid,0.054853104054927826,0.143893301486969,128
0.01,1e-05,True,8,6,Sigmoid,0.12695637345314026,0.14396966993808746,512
0.01,1e-06,True,4,12,Sigmoid,0.10602620244026184,0.1439785659313202,128
0.01,1e-06,True,4,6,Sigmoid,0.1308370679616928,0.14499783515930176,512
0.01,1e-06,True,4,12,Sigmoid,0.14685089886188507,0.14529649913311005,4096
0.01,1e-06,True,8,24,Sigmoid,0.14219805598258972,0.14599153399467468,8192
0.01,1e-05,True,8,24,Sigmoid,0.14211632311344147,0.14676091074943542,4096
0.01,1e-06,True,8,12,Sigmoid,0.14181309938430786,0.14777863025665283,8192
0.01,1e-06,True,4,6,Sigmoid,0.14557336270809174,0.1493843048810959,4096
0.01,1e-06,True,8,12,Sigmoid,0.04828764498233795,0.14943377673625946,128
0.01,1e-06,True,8,24,Sigmoid,0.043962620198726654,0.15136434137821198,128
0.01,1e-07,True,16,24,Sigmoid,0.028457194566726685,0.15214473009109497,128
0.01,1e-06,True,4,6,Sigmoid,0.12137247622013092,0.15482740104198456,128
0.01,1e-05,True,4,24,Sigmoid,0.14723828434944153,0.1551710069179535,2048
0.01,1e-07,True,16,12,Sigmoid,0.034071944653987885,0.15550683438777924,128
0.01,0.0001,True,8,12,Sigmoid,0.052702054381370544,0.15808063745498657,128
0.01,0.0001,True,4,24,Sigmoid,0.15207116305828094,0.15867647528648376,4096
0.01,0.0001,True,4,24,Sigmoid,0.12152449041604996,0.16129013895988464,256
0.01,1e-05,True,4,24,Sigmoid,0.15649980306625366,0.16157591342926025,8192
0.01,1e-06,True,16,24,Sigmoid,0.054031796753406525,0.16273757815361023,128
0.01,1e-05,True,8,24,Sigmoid,0.07238664478063583,0.16278117895126343,128
0.01,0.0001,True,4,12,Sigmoid,0.16531330347061157,0.1669653058052063,8192
0.01,0.0001,True,4,6,Sigmoid,0.12306439876556396,0.1673925220966339,256
0.01,1e-06,True,4,24,Sigmoid,0.1692318469285965,0.16963575780391693,2048
0.01,0.0001,True,8,12,Sigmoid,0.1516629457473755,0.17148371040821075,1024
0.01,0.0001,True,8,24,Sigmoid,0.16004499793052673,0.17235852777957916,256
0.01,1e-05,True,8,12,Sigmoid,0.08886804431676865,0.17284464836120605,128
0.01,0.0001,True,4,24,Sigmoid,0.17003214359283447,0.17309603095054626,2048
0.01,1e-06,True,8,24,Sigmoid,0.13039971888065338,0.17373335361480713,512
0.01,1e-05,True,4,24,Sigmoid,0.09300872683525085,0.17820580303668976,128
0.01,1e-06,True,4,24,Sigmoid,0.16337382793426514,0.18278244137763977,256
0.01,1e-06,True,4,12,Sigmoid,0.1470608115196228,0.19044071435928345,256
0.01,1e-05,True,4,24,Sigmoid,0.1577410101890564,0.1908586323261261,256
