learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-05,True,12,6,Sigmoid,0.005744244437664747,0.005090920254588127,8192,6
0.01,1e-07,True,16,6,Sigmoid,0.006951143033802509,0.005341205280274153,8192,29
0.01,1e-05,True,16,6,Sigmoid,0.005116020329296589,0.006142209284007549,8192,6
0.01,1e-06,True,12,6,Sigmoid,0.004926327150315046,0.006504002958536148,8192,5
0.01,1e-07,True,12,6,Sigmoid,0.005504421889781952,0.006537706591188908,8192,57
0.01,1e-05,True,20,6,Sigmoid,0.005674276500940323,0.0071611544117331505,8192,93
0.01,1e-06,True,16,6,Sigmoid,0.010856637731194496,0.0075958603993058205,8192,6
0.01,1e-07,True,8,12,Sigmoid,0.006471780128777027,0.007720961235463619,8192,9
0.01,1e-06,True,8,6,Sigmoid,0.008146986365318298,0.007814973592758179,8192,4
0.01,1e-07,True,8,6,Sigmoid,0.007142927031964064,0.00809717457741499,8192,72
0.01,1e-07,True,20,6,Sigmoid,0.006399260833859444,0.008107056841254234,8192,8
0.01,0.0001,True,20,6,Sigmoid,0.0065933093428611755,0.008334371261298656,8192,9
0.01,1e-05,True,8,6,Sigmoid,0.009778352454304695,0.00857044942677021,8192,4
0.01,1e-05,True,12,12,Sigmoid,0.006100538186728954,0.008721552789211273,8192,11
0.01,1e-06,True,16,24,Sigmoid,0.005406887270510197,0.008753037080168724,8192,24
0.01,1e-06,True,12,12,Sigmoid,0.0057622226886451244,0.00884836446493864,8192,11
0.01,1e-06,True,8,12,Sigmoid,0.00552652683109045,0.008883273229002953,8192,115
0.01,1e-07,True,20,12,Sigmoid,0.007239249534904957,0.00926841888576746,8192,16
0.01,1e-05,True,16,12,Sigmoid,0.007928204722702503,0.009455807507038116,8192,12
0.001,1e-07,True,16,6,Sigmoid,0.008746668696403503,0.010043674148619175,8192,7
0.01,1e-05,True,20,24,Sigmoid,0.006864632945507765,0.010133623145520687,8192,1041
0.001,1e-06,True,16,6,Sigmoid,0.008817870169878006,0.010222687385976315,8192,6
0.01,1e-05,True,16,6,Sigmoid,0.007070175372064114,0.010495100170373917,4096,4
0.01,1e-05,True,8,24,Sigmoid,0.009692071937024593,0.010895616374909878,8192,307
0.01,1e-07,True,16,6,Sigmoid,0.004980153404176235,0.010952898301184177,4096,4
0.01,0.0001,True,16,12,Sigmoid,0.00991649366915226,0.011117164976894855,8192,12
0.001,1e-07,True,20,6,Sigmoid,0.00968847144395113,0.011121051385998726,8192,149
0.001,0.0001,True,16,6,Sigmoid,0.009411061182618141,0.011600228026509285,8192,6
0.001,0.0001,True,20,6,Sigmoid,0.009248252958059311,0.01187973003834486,8192,8
0.01,0.0001,True,16,6,Sigmoid,0.011871565133333206,0.01190953515470028,8192,6
0.01,1e-07,True,12,6,Sigmoid,0.005617790389806032,0.011916541494429111,4096,4
