learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.01,1e-07,True,16,12,Sigmoid,0.0067124562337994576,0.008752267807722092,4096
0.01,1e-07,True,8,6,Sigmoid,0.006161082535982132,0.008875684812664986,4096
0.01,1e-06,True,16,6,Sigmoid,0.00560525618493557,0.009785952046513557,2048
0.01,1e-06,True,8,24,Sigmoid,0.008131472393870354,0.0099030751734972,8192
0.01,0.0001,True,16,6,Sigmoid,0.009072961285710335,0.009921152144670486,8192
0.01,1e-07,True,16,12,Sigmoid,0.007854793220758438,0.010019820183515549,8192
0.01,1e-05,True,8,6,Sigmoid,0.008168516680598259,0.01009888481348753,8192
0.01,1e-06,True,8,24,Sigmoid,0.00582156702876091,0.010114794597029686,4096
0.01,1e-05,True,16,24,Sigmoid,0.007501642219722271,0.01049368642270565,4096
0.01,1e-07,True,16,6,Sigmoid,0.009613437578082085,0.0105691347271204,4096
0.01,1e-06,True,8,12,Sigmoid,0.007135460618883371,0.010654966346919537,2048
0.01,1e-06,True,16,24,Sigmoid,0.006691088899970055,0.010817316360771656,4096
0.01,1e-07,True,16,12,Sigmoid,0.0076700965873897076,0.010899812914431095,2048
0.01,1e-07,True,8,12,Sigmoid,0.00780958728864789,0.010941168293356895,2048
0.01,1e-05,True,16,6,Sigmoid,0.007182358764111996,0.010950867086648941,2048
0.01,1e-07,True,16,6,Sigmoid,0.006034476682543755,0.01102321594953537,512
0.01,1e-07,True,8,24,Sigmoid,0.00752640888094902,0.011104588396847248,8192
0.01,1e-05,True,16,12,Sigmoid,0.01017351821064949,0.011150427162647247,2048
0.01,1e-06,True,16,6,Sigmoid,0.007408134639263153,0.011175653897225857,8192
0.01,1e-05,True,8,12,Sigmoid,0.007052958477288485,0.011366480030119419,8192
0.01,1e-07,True,8,12,Sigmoid,0.008738267235457897,0.011628647334873676,8192
0.01,1e-05,True,8,12,Sigmoid,0.011136111803352833,0.011821581050753593,2048
0.01,1e-06,True,8,6,Sigmoid,0.007667657919228077,0.01183735579252243,4096
0.01,1e-07,True,16,24,Sigmoid,0.008437716402113438,0.011871162801980972,4096
0.01,1e-06,True,8,6,Sigmoid,0.0081539461389184,0.011895718052983284,1024
0.01,1e-07,True,8,12,Sigmoid,0.010146054439246655,0.011907583102583885,4096
0.01,1e-05,True,16,6,Sigmoid,0.0094431908801198,0.01192454993724823,4096
0.01,1e-06,True,8,12,Sigmoid,0.010412676259875298,0.011981721967458725,8192
0.01,1e-05,True,8,6,Sigmoid,0.008630642667412758,0.012066997587680817,4096
0.01,1e-06,True,8,12,Sigmoid,0.007105381693691015,0.012216313742101192,4096
0.01,1e-07,True,8,6,Sigmoid,0.010217495262622833,0.012274356558918953,8192
0.01,1e-05,True,8,6,Sigmoid,0.008735554292798042,0.01233819592744112,1024
0.01,1e-05,True,16,6,Sigmoid,0.005952637642621994,0.012441890314221382,512
0.01,1e-07,True,8,6,Sigmoid,0.00604561110958457,0.012486210092902184,1024
0.01,1e-06,True,16,12,Sigmoid,0.010169856250286102,0.012638072483241558,8192
0.01,1e-07,True,8,6,Sigmoid,0.008572449907660484,0.01274900883436203,2048
0.01,1e-05,True,8,24,Sigmoid,0.010688245296478271,0.012778052128851414,8192
0.01,1e-07,True,16,6,Sigmoid,0.013019131496548653,0.012782523408532143,1024
0.01,1e-05,True,8,6,Sigmoid,0.007590583059936762,0.012844308279454708,512
0.01,1e-05,True,8,12,Sigmoid,0.012538288719952106,0.012855449691414833,4096
0.01,1e-05,True,16,24,Sigmoid,0.011037413030862808,0.01303552370518446,2048
0.001,0.0001,True,16,6,Sigmoid,0.012087041512131691,0.013121277093887329,8192
0.01,1e-07,True,16,24,Sigmoid,0.011273285374045372,0.013151232153177261,8192
0.01,0.0001,True,16,24,Sigmoid,0.013610702008008957,0.013294557109475136,2048
0.01,1e-06,True,16,6,Sigmoid,0.008790349587798119,0.013362386263906956,1024
0.01,0.0001,True,8,6,Sigmoid,0.01095632929354906,0.013385110534727573,2048
0.01,1e-05,True,16,6,Sigmoid,0.009240580722689629,0.013464560732245445,1024
0.01,1e-05,True,8,24,Sigmoid,0.012882483191788197,0.013509328477084637,2048
0.01,0.0001,True,8,6,Sigmoid,0.010575358755886555,0.01353677548468113,4096
0.01,1e-05,True,8,12,Sigmoid,0.011800258420407772,0.013568270951509476,1024
0.01,1e-05,True,8,6,Sigmoid,0.011130168102681637,0.013630816712975502,2048
0.01,0.0001,True,16,6,Sigmoid,0.012160325422883034,0.013713234104216099,4096
0.01,1e-07,True,8,12,Sigmoid,0.008428897708654404,0.013803842477500439,1024
0.01,1e-06,True,16,6,Sigmoid,0.010622328147292137,0.01385169755667448,4096
0.01,0.0001,True,16,12,Sigmoid,0.010637922212481499,0.014081696979701519,512
0.01,1e-07,True,8,24,Sigmoid,0.010753070935606956,0.014225553721189499,4096
0.01,0.0001,True,8,12,Sigmoid,0.01086345687508583,0.014239535667002201,2048
0.001,1e-05,True,16,12,Sigmoid,0.012540020048618317,0.014266092330217361,8192
0.01,1e-06,True,16,6,Sigmoid,0.007724796421825886,0.014323684386909008,512
0.001,1e-05,True,16,6,Sigmoid,0.011941153556108475,0.014373567886650562,8192
0.01,0.0001,True,8,6,Sigmoid,0.009663954377174377,0.014474049210548401,1024
0.01,1e-06,True,16,12,Sigmoid,0.01219429261982441,0.014474170282483101,4096
0.01,0.0001,True,16,12,Sigmoid,0.01262193638831377,0.014658215455710888,2048
0.01,1e-07,True,8,24,Sigmoid,0.009657103568315506,0.01466080266982317,2048
0.01,1e-05,True,16,12,Sigmoid,0.01345052756369114,0.014743034727871418,4096
0.01,0.0001,True,8,12,Sigmoid,0.013566548004746437,0.014909809455275536,8192
0.01,1e-07,True,16,6,Sigmoid,0.01242167316377163,0.015056638978421688,8192
0.01,1e-06,True,8,6,Sigmoid,0.007604015059769154,0.01505686342716217,512
0.01,1e-07,True,8,24,Sigmoid,0.008803818374872208,0.015196910127997398,512
0.01,1e-06,True,8,12,Sigmoid,0.00970382709056139,0.015442540869116783,1024
0.01,1e-06,True,16,24,Sigmoid,0.013142528012394905,0.015608158893883228,8192
0.01,0.0001,True,16,24,Sigmoid,0.013054021634161472,0.015719164162874222,4096
0.01,1e-07,True,8,6,Sigmoid,0.008846692740917206,0.01583641953766346,512
0.01,1e-07,True,16,12,Sigmoid,0.010216697119176388,0.016112472862005234,1024
0.001,1e-06,True,16,6,Sigmoid,0.013908490538597107,0.01617616042494774,8192
0.01,0.0001,True,8,6,Sigmoid,0.014199171215295792,0.016561543568968773,8192
0.01,1e-07,True,8,12,Sigmoid,0.01276116631925106,0.01661417819559574,512
0.01,1e-05,True,8,24,Sigmoid,0.012207159772515297,0.016635574400424957,4096
0.01,1e-05,True,16,6,Sigmoid,0.014257881790399551,0.01668003760278225,8192
0.01,1e-06,True,8,24,Sigmoid,0.019651319831609726,0.01672581024467945,512
0.01,1e-06,True,8,6,Sigmoid,0.014963534660637379,0.01679663546383381,2048
0.01,0.0001,True,16,6,Sigmoid,0.013659446500241756,0.017051083967089653,1024
0.001,1e-07,True,16,12,Sigmoid,0.015845119953155518,0.017785582691431046,8192
0.01,1e-06,True,16,24,Sigmoid,0.013049021363258362,0.018223103135824203,2048
0.01,1e-06,True,8,6,Sigmoid,0.015166722238063812,0.018350157886743546,8192
0.01,1e-07,True,16,24,Sigmoid,0.005500894971191883,0.01843731850385666,512
0.01,1e-07,True,8,24,Sigmoid,0.010616966523230076,0.018437402322888374,1024
0.001,1e-06,True,16,6,Sigmoid,0.016773363575339317,0.01858167164027691,4096
0.01,1e-06,True,8,24,Sigmoid,0.014365110546350479,0.018880143761634827,1024
0.01,1e-06,True,16,12,Sigmoid,0.017257209867239,0.018943428993225098,2048
0.001,1e-05,True,16,6,Sigmoid,0.012867538258433342,0.019021742045879364,1024
0.01,0.0001,True,8,24,Sigmoid,0.012153745628893375,0.019223280251026154,512
0.001,1e-07,True,16,24,Sigmoid,0.01634778082370758,0.019316261634230614,4096
0.01,1e-07,True,16,12,Sigmoid,0.011851746588945389,0.019623462110757828,512
0.01,1e-05,True,8,24,Sigmoid,0.013395749032497406,0.019632618874311447,1024
