learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,0.0001,True,16,6,Sigmoid,0.0365145206451416,0.03694624826312065,8192,0
0.01,1e-07,True,20,12,Sigmoid,0.03801259398460388,0.03940536826848984,8192,1
0.01,1e-05,True,20,6,Sigmoid,0.04362651705741882,0.04311671853065491,4096,0
0.01,0.0001,True,12,6,Sigmoid,0.04278605431318283,0.044121917337179184,2048,0
0.01,1e-06,True,20,6,Sigmoid,0.044538501650094986,0.04536416754126549,2048,0
0.01,0.0001,True,20,6,Sigmoid,0.04488341510295868,0.04558069258928299,4096,0
0.01,1e-06,True,16,6,Sigmoid,0.04465804249048233,0.04569050297141075,8192,0
0.01,1e-07,True,16,12,Sigmoid,0.044308584183454514,0.04652247577905655,2048,0
0.01,0.0001,True,20,6,Sigmoid,0.045093875378370285,0.04689530283212662,2048,0
0.01,1e-06,True,20,12,Sigmoid,0.04554944112896919,0.04751485586166382,2048,0
0.01,1e-06,True,20,6,Sigmoid,0.045281361788511276,0.04778219014406204,1024,0
0.01,1e-07,True,20,6,Sigmoid,0.043697722256183624,0.047809112817049026,1024,0
0.01,0.0001,True,12,12,Sigmoid,0.04519807547330856,0.048072539269924164,2048,0
0.01,0.0001,True,16,6,Sigmoid,0.04838424548506737,0.04848000407218933,2048,0
0.01,1e-07,True,20,6,Sigmoid,0.04773280769586563,0.04882073402404785,8192,0
0.01,1e-07,True,20,6,Sigmoid,0.049590252339839935,0.05028584599494934,2048,0
0.01,1e-06,True,20,6,Sigmoid,0.04926580935716629,0.05030805617570877,8192,0
0.01,1e-07,True,16,6,Sigmoid,0.04641126096248627,0.05033170059323311,1024,0
0.01,1e-05,True,20,6,Sigmoid,0.04726447910070419,0.05047019571065903,1024,0
0.01,1e-06,True,16,12,Sigmoid,0.049629803746938705,0.050530172884464264,8192,1
0.01,1e-06,True,20,6,Sigmoid,0.05052969232201576,0.051907822489738464,4096,0
0.01,1e-05,True,20,6,Sigmoid,0.040804799646139145,0.0520746186375618,512,0
0.01,1e-05,True,16,12,Sigmoid,0.051587365567684174,0.05229935050010681,8192,0
0.01,0.0001,True,20,6,Sigmoid,0.04866887629032135,0.05240091681480408,1024,0
0.01,1e-06,True,20,6,Sigmoid,0.0438053235411644,0.05247041583061218,512,0
0.01,0.0001,True,20,6,Sigmoid,0.05157880485057831,0.05255604162812233,8192,0
0.01,0.0001,True,20,6,Sigmoid,0.04659091308712959,0.052699655294418335,512,0
0.01,1e-07,True,16,6,Sigmoid,0.05252055078744888,0.05327757075428963,4096,0
0.01,1e-07,True,20,6,Sigmoid,0.05226989835500717,0.053405873477458954,4096,0
0.01,0.0001,True,12,12,Sigmoid,0.051506463438272476,0.05387724190950394,8192,0
0.01,1e-06,True,16,6,Sigmoid,0.05355194956064224,0.054759666323661804,4096,0
0.01,1e-07,True,16,6,Sigmoid,0.0549694262444973,0.05504637211561203,8192,0
0.01,1e-06,True,16,6,Sigmoid,0.05351479351520538,0.05509680137038231,2048,0
0.01,0.0001,True,20,12,Sigmoid,0.055151890963315964,0.05567246675491333,2048,0
0.01,0.0001,True,16,6,Sigmoid,0.051979705691337585,0.0559970997273922,1024,0
0.01,0.0001,True,12,6,Sigmoid,0.05290970206260681,0.05615709349513054,1024,0
0.01,1e-05,True,20,6,Sigmoid,0.054916661232709885,0.05632895231246948,8192,0
0.01,1e-07,True,20,6,Sigmoid,0.048376280814409256,0.05636785179376602,512,0
0.01,1e-06,True,12,12,Sigmoid,0.05472510680556297,0.05639561265707016,8192,0
0.01,0.0001,True,16,6,Sigmoid,0.057154975831508636,0.056599512696266174,4096,0
0.01,1e-05,True,20,6,Sigmoid,0.05555311590433121,0.05680449306964874,2048,0
0.01,1e-07,True,20,12,Sigmoid,0.05181159824132919,0.056844595819711685,1024,0
0.01,0.0001,True,8,6,Sigmoid,0.05536361038684845,0.05686023086309433,8192,0
0.01,1e-05,True,8,12,Sigmoid,0.05244070664048195,0.05704670399427414,1024,0
0.01,1e-07,True,16,6,Sigmoid,0.05636873468756676,0.05724873021245003,2048,0
0.01,1e-06,True,16,6,Sigmoid,0.041456401348114014,0.05742616951465607,256,0
0.01,1e-05,True,12,6,Sigmoid,0.0560227669775486,0.057595349848270416,1024,0
0.01,1e-05,True,12,6,Sigmoid,0.05804283916950226,0.05787987634539604,8192,0
0.01,1e-05,True,16,6,Sigmoid,0.056190576404333115,0.05808544158935547,2048,0
0.01,1e-06,True,16,6,Sigmoid,0.05438506603240967,0.05819619446992874,1024,0
