learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-07,True,12,6,Sigmoid,0.004267523065209389,0.00512826070189476,8192,7
0.01,1e-07,True,16,6,Sigmoid,0.004765927791595459,0.005617435090243816,8192,8
0.01,1e-05,True,12,6,Sigmoid,0.007297222502529621,0.005650983192026615,8192,7
0.01,1e-06,True,12,6,Sigmoid,0.005062348209321499,0.006418120581656694,8192,7
0.01,1e-06,True,12,12,Sigmoid,0.0044032372534275055,0.0067298151552677155,8192,15
0.01,0.0001,True,20,6,Sigmoid,0.006655734032392502,0.007201548665761948,8192,11
0.01,0.0001,True,16,24,Sigmoid,0.005171609111130238,0.007274417206645012,8192,30
0.01,1e-07,True,12,24,Sigmoid,0.008378113619983196,0.007529367692768574,8192,27
0.01,1e-06,True,20,24,Sigmoid,0.005696441978216171,0.007648818660527468,8192,292
0.01,1e-07,True,16,12,Sigmoid,0.00628141313791275,0.007949553430080414,8192,15
0.01,1e-06,True,8,6,Sigmoid,0.004430620931088924,0.008065941743552685,8192,6
0.01,1e-06,True,16,6,Sigmoid,0.005367761477828026,0.008254094049334526,8192,8
0.01,1e-06,True,8,12,Sigmoid,0.0051294052973389626,0.008318429812788963,8192,12
0.001,1e-05,True,12,12,Sigmoid,0.00601824838668108,0.008400840684771538,8192,14
0.01,1e-05,True,16,6,Sigmoid,0.006182414945214987,0.008536763489246368,8192,8
0.01,0.0001,True,20,24,Sigmoid,0.006220381241291761,0.008617417886853218,8192,133
0.01,1e-07,True,8,6,Sigmoid,0.005549989640712738,0.008780917152762413,8192,6
0.01,1e-06,True,12,24,Sigmoid,0.007925018668174744,0.009363541379570961,8192,212
0.01,1e-05,True,8,6,Sigmoid,0.009880614466965199,0.009406765922904015,8192,6
0.01,1e-06,True,16,24,Sigmoid,0.005338441114872694,0.009529509581625462,8192,77
0.01,0.0001,True,16,12,Sigmoid,0.007532919757068157,0.009580629877746105,8192,15
0.01,1e-05,True,16,24,Sigmoid,0.007198571693152189,0.009615641087293625,8192,58
