learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,0.0001,True,20,6,Sigmoid,0.04015883058309555,0.055741164833307266,256,0
0.01,1e-06,True,20,6,Sigmoid,0.03562348335981369,0.05758904665708542,256,0
0.01,0.0001,True,16,6,Sigmoid,0.04177071154117584,0.05911344662308693,256,0
0.01,1e-06,True,16,6,Sigmoid,0.04029170796275139,0.05976523086428642,256,0
0.01,1e-05,True,20,6,Sigmoid,0.04041699320077896,0.060523200780153275,256,0
0.01,1e-07,True,20,6,Sigmoid,0.041188061237335205,0.06399716436862946,256,0
0.01,1e-05,True,16,6,Sigmoid,0.04523991048336029,0.06686022132635117,256,0
0.01,1e-07,True,16,6,Sigmoid,0.04444245994091034,0.0693739727139473,256,0
0.01,1e-06,True,20,6,Sigmoid,0.02970418706536293,0.07048578560352325,128,0
0.01,1e-06,True,12,6,Sigmoid,0.05571480840444565,0.07247455418109894,256,0
0.01,0.0001,True,20,6,Sigmoid,0.04738562926650047,0.07252110540866852,128,0
0.01,0.0001,True,12,12,Sigmoid,0.046585552394390106,0.0733167827129364,256,0
0.01,1e-06,True,8,12,Sigmoid,0.053328000009059906,0.07346658408641815,256,0
0.01,1e-05,True,8,6,Sigmoid,0.053674232214689255,0.073786661028862,256,0
0.01,0.0001,True,16,6,Sigmoid,0.038099098950624466,0.07477505505084991,128,0
0.01,0.0001,True,12,6,Sigmoid,0.05815146863460541,0.07518519461154938,256,0
0.01,1e-07,True,12,6,Sigmoid,0.0548444427549839,0.07598501443862915,256,0
0.01,1e-07,True,8,6,Sigmoid,0.05761102959513664,0.07628489285707474,256,0
0.01,1e-07,True,20,6,Sigmoid,0.04011128842830658,0.07634230703115463,128,0
0.01,0.0001,True,12,6,Sigmoid,0.04044339060783386,0.07692337036132812,128,0
0.01,1e-05,True,20,6,Sigmoid,0.034101877361536026,0.07728734612464905,128,0
0.01,1e-05,True,12,6,Sigmoid,0.05732650309801102,0.07924623787403107,256,0
0.01,1e-05,True,16,6,Sigmoid,0.03904809057712555,0.08151555061340332,128,0
0.01,1e-06,True,16,6,Sigmoid,0.05212859809398651,0.08262142539024353,128,0
0.01,1e-06,True,12,12,Sigmoid,0.03811432421207428,0.08290655165910721,256,0
0.01,1e-07,True,12,6,Sigmoid,0.051188789308071136,0.08304684609174728,128,0
0.01,1e-05,True,8,12,Sigmoid,0.06259170174598694,0.08340752869844437,256,0
0.01,1e-05,True,16,12,Sigmoid,0.04873199760913849,0.08350896090269089,256,0
0.01,1e-05,True,12,12,Sigmoid,0.045271776616573334,0.08414386212825775,256,0
0.01,1e-06,True,16,12,Sigmoid,0.05937687307596207,0.08421125262975693,256,0
0.01,0.0001,True,20,12,Sigmoid,0.050977084785699844,0.08455125242471695,256,0
0.01,1e-06,True,12,6,Sigmoid,0.05070934072136879,0.08586437255144119,128,0
0.01,1e-05,True,4,6,Sigmoid,0.0726713314652443,0.0863041952252388,128,0
0.01,1e-05,True,12,6,Sigmoid,0.061983637511730194,0.08672454208135605,128,0
0.01,1e-07,True,20,12,Sigmoid,0.05540505796670914,0.08680077642202377,256,0
0.01,1e-07,True,16,6,Sigmoid,0.03987709432840347,0.08732901513576508,128,0
0.01,1e-05,True,20,12,Sigmoid,0.053589969873428345,0.08750537037849426,256,0
0.01,1e-06,True,20,12,Sigmoid,0.04514842480421066,0.08865578472614288,256,0
0.01,0.0001,True,8,6,Sigmoid,0.06863607466220856,0.08883822709321976,128,0
0.01,0.0001,True,16,12,Sigmoid,0.059366025030612946,0.0896211788058281,256,0
0.01,0.0001,True,8,6,Sigmoid,0.07786485552787781,0.08972231298685074,256,0
0.01,1e-06,True,8,6,Sigmoid,0.06568612903356552,0.090296670794487,256,0
0.01,1e-07,True,12,12,Sigmoid,0.05062364786863327,0.09093768894672394,256,0
0.01,0.0001,True,8,12,Sigmoid,0.07200375944375992,0.0925198495388031,256,0
0.01,1e-05,True,8,6,Sigmoid,0.06148399040102959,0.09377981722354889,128,0
0.01,1e-07,True,8,6,Sigmoid,0.07003647089004517,0.09733210504055023,128,0
0.01,0.0001,True,20,12,Sigmoid,0.040546827018260956,0.10094870626926422,128,0
0.01,1e-06,True,16,12,Sigmoid,0.03325963392853737,0.10098278522491455,128,0
0.01,1e-07,True,4,6,Sigmoid,0.089151531457901,0.1021081954240799,256,0
0.01,1e-05,True,16,12,Sigmoid,0.037224672734737396,0.10214836150407791,128,0
0.01,1e-07,True,16,12,Sigmoid,0.06641332060098648,0.10239320248365402,256,0
0.01,0.0001,True,12,12,Sigmoid,0.03920866549015045,0.10659323632717133,128,0
0.01,1e-05,True,12,12,Sigmoid,0.0412406399846077,0.11163732409477234,128,0
0.01,1e-06,True,20,12,Sigmoid,0.05611269548535347,0.11177565157413483,128,0
0.01,1e-05,True,20,12,Sigmoid,0.048707082867622375,0.11208636313676834,128,0
0.01,1e-07,True,20,12,Sigmoid,0.03717255964875221,0.11245209723711014,128,0
0.01,0.0001,True,16,12,Sigmoid,0.03167087212204933,0.11441292613744736,128,0
0.01,1e-05,True,8,12,Sigmoid,0.05996331572532654,0.11495000123977661,128,0
0.01,1e-07,True,16,12,Sigmoid,0.040283769369125366,0.11720052361488342,128,0
0.01,1e-05,True,20,24,Sigmoid,0.03499729186296463,0.11948653310537338,128,0
0.01,1e-07,True,8,12,Sigmoid,0.08743325620889664,0.12084372341632843,256,0
0.01,0.0001,True,4,6,Sigmoid,0.10537609457969666,0.12187574803829193,128,0
0.01,0.0001,True,16,24,Sigmoid,0.054455794394016266,0.12374015152454376,128,0
0.01,1e-06,True,20,24,Sigmoid,0.03194931894540787,0.12422637641429901,128,0
0.01,0.0001,True,20,24,Sigmoid,0.038136836141347885,0.12424230575561523,128,0
0.01,1e-06,True,12,12,Sigmoid,0.05367039144039154,0.13078391551971436,128,0
0.01,1e-06,True,8,6,Sigmoid,0.10801757872104645,0.1369079053401947,128,0
0.01,1e-07,True,16,24,Sigmoid,0.029828228056430817,0.13776837289333344,128,0
0.01,1e-07,True,12,24,Sigmoid,0.03648655489087105,0.13931837677955627,128,0
0.01,1e-07,True,20,24,Sigmoid,0.05170494318008423,0.1396884024143219,128,0
0.01,1e-05,True,12,24,Sigmoid,0.08988943696022034,0.13980388641357422,128,0
0.01,1e-07,True,8,12,Sigmoid,0.08656851947307587,0.1410178542137146,128,0
