learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time,epochs,sampling_type
0.01,1e-05,True,20,6,Sigmoid,0.006005497649312,0.0063872588798403,4096,5,1000,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0056416522711515,0.0064228568226099,4096,4,1000,sobol
0.01,1e-07,True,16,6,Sigmoid,0.005668357014656,0.0068800635635852,4096,4,1000,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0064367004670202,0.0074418452568352,8192,6,1000,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0061241816729307,0.0075430525466799,8192,6,1000,sobol
0.01,1e-07,True,20,6,Sigmoid,0.0066046505235135,0.0075942846015095,2048,3,1000,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0060684904456138,0.0076013929210603,8192,8,1000,sobol
0.01,1e-05,True,12,6,Sigmoid,0.0074449139647185,0.0078958915546536,4096,3,1000,sobol
0.01,1e-05,True,8,6,Sigmoid,0.0058478196151554,0.0083893686532974,8192,5,1000,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0064673917368054,0.0084883421659469,4096,4,1000,sobol
0.01,1e-06,True,8,6,Sigmoid,0.0063926922157406,0.0084939710795879,2048,2,1000,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0066292714327573,0.0085227685049176,2048,2,1000,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0069821840152144,0.008576588705182,2048,2,1000,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0061521679162979,0.0086742155253887,1024,1,1000,sobol
0.01,1e-06,True,16,12,Sigmoid,0.0068394765257835,0.0087599251419305,8192,12,1000,sobol
0.01,1e-05,True,20,6,Sigmoid,0.0069006602279841,0.0087731834501028,2048,3,1000,sobol
0.01,1e-06,True,8,6,Sigmoid,0.00779395038262,0.0088363550603389,8192,5,1000,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0070137027651071,0.0088792331516742,2048,2,1000,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0075519122183322,0.0090709328651428,8192,9,1000,sobol
0.01,1e-07,True,12,12,Sigmoid,0.0066254343837499,0.0091644097119569,2048,5,1000,sobol
0.01,1e-07,True,8,12,Sigmoid,0.0064974073320627,0.0092001473531126,2048,4,1000,sobol
0.01,0.0001,True,20,12,Sigmoid,0.0089756231755018,0.0094182277098298,4096,9,1000,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0083965035155415,0.009489064104855,8192,6,1000,sobol
0.01,0.0001,True,8,6,Sigmoid,0.008517769165337,0.0096205063164234,2048,2,1000,sobol
0.01,1e-05,True,20,12,Sigmoid,0.0083407200872898,0.0099047310650348,8192,16,1000,sobol
0.01,1e-07,True,20,6,Sigmoid,0.007834518328309,0.0100231319665908,4096,5,1000,sobol
0.01,1e-07,True,20,6,Sigmoid,0.0067722741514444,0.0100625706836581,8192,8,1000,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0109448479488492,0.0101134683936834,8192,6,1000,sobol
0.01,1e-06,True,12,12,Sigmoid,0.0081993611529469,0.0104374829679727,4096,7,1000,sobol
0.01,1e-07,True,20,6,Sigmoid,0.0062596118077635,0.0104550160467624,1024,1,1000,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0082402992993593,0.0104621332138776,1024,1,1000,sobol
0.01,1e-07,True,16,12,Sigmoid,0.0127291278913617,0.0104778250679373,8192,13,1000,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0095516676083207,0.0105157820507884,4096,3,1000,sobol
0.01,1e-05,True,20,6,Sigmoid,0.0074423281475901,0.0105507960543036,1024,1,1000,sobol
0.01,1e-07,True,8,6,Sigmoid,0.0086621483787894,0.0105568375438451,8192,5,1000,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0098708514124155,0.0105722397565841,512,1,1000,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0087120085954666,0.0105728525668382,2048,2,1000,sobol
0.01,1e-05,True,8,6,Sigmoid,0.0081401104107499,0.0105807175859808,4096,3,1000,sobol
0.01,1e-05,True,8,6,Sigmoid,0.0092946570366621,0.0105811227113008,2048,2,1000,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0097709167748689,0.0107474261894822,8192,6,1000,sobol
0.01,0.0001,True,16,6,Sigmoid,0.0076822587288916,0.0110595878213644,4096,4,1000,sobol
0.01,1e-07,True,12,12,Sigmoid,0.0071362070739269,0.0110652241855859,4096,7,1000,sobol
0.01,0.0001,True,8,12,Sigmoid,0.0100285839289426,0.0111100748181343,4096,5,1000,sobol
0.01,0.0001,True,8,12,Sigmoid,0.0083286203444004,0.0111265163868665,2048,4,1000,sobol
0.01,1e-05,True,16,12,Sigmoid,0.0085387043654918,0.011309877038002,4096,8,1000,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0082398746162652,0.0113562326878309,4096,5,1000,sobol
0.01,1e-06,True,12,12,Sigmoid,0.0075486940331757,0.0113646360114216,2048,5,1000,sobol
0.01,1e-07,True,8,12,Sigmoid,0.0076894117519259,0.0115244081243872,4096,5,1000,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0086492057889699,0.0115326959639787,1024,1,1000,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0069311158731579,0.0116220358759164,512,1,1000,sobol
0.01,1e-06,True,8,12,Sigmoid,0.0090592354536056,0.0116738174110651,8192,10,1000,sobol
0.01,1e-05,True,16,24,Sigmoid,0.0102350581437349,0.011703273281455,8192,25,1000,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0052615073509514,0.0117228245362639,512,1,1000,sobol
0.01,0.0001,True,12,12,Sigmoid,0.0104529242962598,0.0117459818720817,4096,7,1000,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0096949879080057,0.0118676498532295,512,1,1000,sobol
0.01,0.0001,True,12,6,Sigmoid,0.0097939250990748,0.0118820825591683,4096,3,1000,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0079579884186387,0.0120300538837909,512,1,1000,sobol
0.01,1e-07,True,16,24,Sigmoid,0.0093926638364791,0.0120664350688457,8192,25,1000,sobol
0.01,1e-07,True,16,12,Sigmoid,0.0080843912437558,0.012066644616425,1024,3,1000,sobol
0.01,0.0001,True,8,6,Sigmoid,0.0104546789079904,0.0120682353153824,8192,5,1000,sobol
0.01,1e-06,True,16,6,Sigmoid,0.0089495796710252,0.0120719503611326,1024,1,1000,sobol
0.01,1e-05,True,8,12,Sigmoid,0.0107487011700868,0.0121502969413995,4096,5,1000,sobol
0.01,0.0001,True,16,6,Sigmoid,0.011173129081726,0.0122202858328819,2048,2,1000,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0105639174580574,0.0122282318770885,2048,3,1000,sobol
0.01,1e-06,True,8,12,Sigmoid,0.0073597133159637,0.0122875412926077,1024,2,1000,sobol
0.01,0.0001,True,16,6,Sigmoid,0.011556826531887,0.0123809166252613,8192,6,1000,sobol
0.01,1e-05,True,8,24,Sigmoid,0.0094259697943925,0.0124514661729335,8192,20,1000,sobol
0.01,1e-07,True,8,12,Sigmoid,0.0078345406800508,0.0124887209385633,1024,2,1000,sobol
0.01,1e-07,True,20,12,Sigmoid,0.0074286088347435,0.0124970860779285,2048,6,1000,sobol
0.01,1e-05,True,8,6,Sigmoid,0.0076290341094136,0.0125754298642277,1024,1,1000,sobol
0.01,1e-05,True,16,12,Sigmoid,0.0116153825074434,0.0125857461243867,8192,13,1000,sobol
0.01,0.0001,True,16,6,Sigmoid,0.0093779452145099,0.0126073695719242,1024,992,1000,sobol
0.01,1e-05,True,8,12,Sigmoid,0.0077109267003834,0.0126684699207544,512,2,1000,sobol
0.01,1e-05,True,12,6,Sigmoid,0.0068684457801282,0.0127777066081762,512,1,1000,sobol
0.01,1e-06,True,16,24,Sigmoid,0.0090294638648629,0.0128009216859936,8192,25,1000,sobol
0.01,1e-07,True,8,6,Sigmoid,0.0057043898850679,0.0128053873777389,512,1,1000,sobol
0.01,1e-05,True,20,24,Sigmoid,0.0101257767528295,0.0128452368080616,8192,33,1000,sobol
0.01,1e-07,True,16,24,Sigmoid,0.0146379861980676,0.0128554115071892,4096,16,1000,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0118376705795526,0.0128712076693773,1024,1,1000,sobol
0.01,1e-05,True,12,12,Sigmoid,0.0122827086597681,0.012872745282948,8192,13,1000,sobol
0.01,0.0001,True,20,6,Sigmoid,0.0129528725519776,0.0129223577678203,2048,3,1000,sobol
0.01,0.0001,True,12,6,Sigmoid,0.0108733857050538,0.0129327848553657,512,1,1000,sobol
0.01,0.0001,True,12,6,Sigmoid,0.0112320538610219,0.0129449442028999,8192,6,1000,sobol
0.001,1e-05,True,16,6,Sigmoid,0.0125281168147921,0.0130040738731622,8192,6,1000,sobol
0.01,1e-07,True,12,12,Sigmoid,0.0106993466615676,0.0130393207073211,8192,12,1000,sobol
