dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,sum_sines
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.79425538604203
0.75,0.25,0.25,0.25,0.75,0.75,0.25,0.75,0.75,0.75,5.079448397158097
0.25,0.75,0.75,0.75,0.25,0.25,0.75,0.25,0.25,0.25,4.210978795620473
0.375,0.375,0.625,0.875,0.375,0.125,0.375,0.875,0.875,0.625,5.0625899023184235
0.875,0.875,0.125,0.375,0.875,0.625,0.875,0.375,0.375,0.125,5.0034383359131684
0.625,0.125,0.875,0.625,0.625,0.875,0.125,0.125,0.125,0.375,4.155350285920399
0.125,0.625,0.375,0.125,0.125,0.375,0.625,0.625,0.625,0.875,4.214501852325654
0.1875,0.3125,0.9375,0.4375,0.5625,0.3125,0.4375,0.9375,0.9375,0.3125,4.907617353229387
0.6875,0.8125,0.4375,0.9375,0.0625,0.8125,0.9375,0.4375,0.4375,0.8125,5.758283351772986
0.9375,0.0625,0.6875,0.1875,0.3125,0.5625,0.1875,0.1875,0.1875,0.5625,3.622804554819843
0.4375,0.5625,0.1875,0.6875,0.8125,0.0625,0.6875,0.6875,0.6875,0.0625,4.532737838508778
0.3125,0.1875,0.3125,0.5625,0.9375,0.4375,0.0625,0.0625,0.0625,0.9375,3.557799426711516
0.8125,0.6875,0.8125,0.0625,0.4375,0.9375,0.5625,0.5625,0.5625,0.4375,5.402425351655703
0.5625,0.4375,0.0625,0.8125,0.1875,0.6875,0.3125,0.8125,0.8125,0.1875,4.512316402484666
0.0625,0.9375,0.5625,0.3125,0.6875,0.1875,0.8125,0.3125,0.3125,0.6875,4.505784755433757
0.09375,0.46875,0.46875,0.65625,0.28125,0.96875,0.53125,0.84375,0.46875,0.15625,4.570179730622736
0.59375,0.96875,0.96875,0.15625,0.78125,0.46875,0.03125,0.34375,0.96875,0.65625,5.32197750105042
0.84375,0.21875,0.21875,0.90625,0.53125,0.21875,0.78125,0.09375,0.71875,0.90625,4.935398999299394
0.34375,0.71875,0.71875,0.40625,0.03125,0.71875,0.28125,0.59375,0.21875,0.40625,4.187972307209864
0.46875,0.09375,0.84375,0.28125,0.15625,0.84375,0.90625,0.21875,0.59375,0.53125,4.543128489506861
0.96875,0.59375,0.34375,0.78125,0.65625,0.34375,0.40625,0.71875,0.09375,0.03125,4.550478677861175
0.71875,0.34375,0.59375,0.03125,0.90625,0.09375,0.65625,0.96875,0.34375,0.28125,4.515897235143992
0.21875,0.84375,0.09375,0.53125,0.40625,0.59375,0.15625,0.46875,0.84375,0.78125,4.577709932224043
0.15625,0.15625,0.53125,0.84375,0.84375,0.65625,0.96875,0.15625,0.53125,0.46875,4.860449609054483
0.65625,0.65625,0.03125,0.34375,0.34375,0.15625,0.46875,0.65625,0.03125,0.96875,3.998545106174409
0.90625,0.40625,0.78125,0.59375,0.09375,0.40625,0.71875,0.90625,0.28125,0.71875,5.316426880550651
0.40625,0.90625,0.28125,0.09375,0.59375,0.90625,0.21875,0.40625,0.78125,0.21875,4.4335572429195365
0.28125,0.28125,0.15625,0.21875,0.71875,0.53125,0.59375,0.78125,0.40625,0.84375,4.498742768764493
0.78125,0.78125,0.65625,0.71875,0.21875,0.03125,0.09375,0.28125,0.90625,0.34375,4.420570194211813
0.53125,0.03125,0.40625,0.46875,0.46875,0.28125,0.84375,0.03125,0.65625,0.09375,3.596271979902446
0.03125,0.53125,0.90625,0.96875,0.96875,0.78125,0.34375,0.53125,0.15625,0.59375,5.236297064776773
0.046875,0.265625,0.703125,0.546875,0.140625,0.921875,0.796875,0.671875,0.984375,0.046875,4.630307720543344
0.546875,0.765625,0.203125,0.046875,0.640625,0.421875,0.296875,0.171875,0.484375,0.546875,3.918004832935424
0.796875,0.015625,0.953125,0.796875,0.890625,0.171875,0.546875,0.421875,0.234375,0.796875,5.08660224164603
0.296875,0.515625,0.453125,0.296875,0.390625,0.671875,0.046875,0.921875,0.734375,0.296875,4.325394333779127
0.421875,0.140625,0.078125,0.421875,0.265625,0.796875,0.671875,0.296875,0.109375,0.671875,3.66143838022012
0.921875,0.640625,0.578125,0.921875,0.765625,0.296875,0.171875,0.796875,0.609375,0.171875,5.352735073581727
