dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,sum_sines
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5,0.5,2.876553231625218
0.75,0.25,0.25,0.25,0.75,0.75,2.787128157833571
0.25,0.75,0.75,0.75,0.25,0.25,2.7871281578335707
0.375,0.375,0.625,0.875,0.375,0.125,2.57613309581986
0.875,0.875,0.125,0.375,0.875,0.625,3.378675042119819
0.625,0.125,0.875,0.625,0.625,0.875,3.415053556678669
0.125,0.625,0.375,0.125,0.125,0.375,1.6916665312682404
0.1875,0.3125,0.9375,0.4375,0.5625,0.3125,2.564340364923683
0.6875,0.8125,0.4375,0.9375,0.0625,0.8125,3.378841073843706
0.9375,0.0625,0.6875,0.1875,0.3125,0.5625,2.5302919909970134
0.4375,0.5625,0.1875,0.6875,0.8125,0.0625,2.56645728062059
0.3125,0.1875,0.3125,0.5625,0.9375,0.4375,2.564340364923683
0.8125,0.6875,0.8125,0.0625,0.4375,0.9375,3.378841073843706
0.5625,0.4375,0.0625,0.8125,0.1875,0.6875,2.56645728062059
0.0625,0.9375,0.5625,0.3125,0.6875,0.1875,2.5302919909970134
0.09375,0.46875,0.46875,0.65625,0.28125,0.96875,2.709040947607645
0.59375,0.96875,0.96875,0.15625,0.78125,0.46875,3.519383996300414
0.84375,0.21875,0.21875,0.90625,0.53125,0.21875,2.691977709366831
0.34375,0.71875,0.71875,0.40625,0.03125,0.71875,2.7387655129802164
0.46875,0.09375,0.84375,0.28125,0.15625,0.84375,2.4728376750182774
0.96875,0.59375,0.34375,0.78125,0.65625,0.34375,3.372009302488835
0.71875,0.34375,0.59375,0.03125,0.90625,0.09375,2.4669918927329753
0.21875,0.84375,0.09375,0.53125,0.40625,0.59375,2.519015092568676
0.15625,0.15625,0.53125,0.84375,0.84375,0.65625,2.9222732453083493
0.65625,0.65625,0.03125,0.34375,0.34375,0.15625,2.081200198954971
