dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,sum_sines
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.835404308833624
0.75,0.25,0.25,0.25,0.75,0.75,0.25,0.75,3.716170877111428
0.25,0.75,0.75,0.75,0.25,0.25,0.75,0.25,3.716170877111428
0.375,0.375,0.625,0.875,0.375,0.125,0.375,0.875,3.7099491271419343
0.875,0.875,0.125,0.375,0.875,0.625,0.875,0.375,4.512491073441893
0.625,0.125,0.875,0.625,0.625,0.875,0.125,0.125,3.6644030234491236
0.125,0.625,0.375,0.125,0.125,0.375,0.625,0.625,2.8618610771491646
0.1875,0.3125,0.9375,0.4375,0.5625,0.3125,0.4375,0.9375,3.7940977303883137
0.6875,0.8125,0.4375,0.9375,0.0625,0.8125,0.9375,0.4375,4.608598439308336
0.9375,0.0625,0.6875,0.1875,0.3125,0.5625,0.1875,0.1875,2.903098584521553
0.4375,0.5625,0.1875,0.6875,0.8125,0.0625,0.6875,0.6875,3.8356714406511285
0.3125,0.1875,0.3125,0.5625,0.9375,0.4375,0.0625,0.0625,2.689259000608443
0.8125,0.6875,0.8125,0.0625,0.4375,0.9375,0.5625,0.5625,4.445446420915745
0.5625,0.4375,0.0625,0.8125,0.1875,0.6875,0.3125,0.8125,3.5999044504616835
0.0625,0.9375,0.5625,0.3125,0.6875,0.1875,0.8125,0.3125,3.563739160838107
0.09375,0.46875,0.46875,0.65625,0.28125,0.96875,0.53125,0.84375,3.9627932663574965
0.59375,0.96875,0.96875,0.15625,0.78125,0.46875,0.03125,0.34375,3.887648979307993
0.84375,0.21875,0.21875,0.90625,0.53125,0.21875,0.78125,0.09375,3.4897579520568778
0.34375,0.71875,0.71875,0.40625,0.03125,0.71875,0.28125,0.59375,3.5757953958739197
0.46875,0.09375,0.84375,0.28125,0.15625,0.84375,0.90625,0.21875,3.4770439034452365
0.96875,0.59375,0.34375,0.78125,0.65625,0.34375,0.40625,0.71875,4.425621032640336
0.71875,0.34375,0.59375,0.03125,0.90625,0.09375,0.65625,0.96875,3.9013204144754035
0.21875,0.84375,0.09375,0.53125,0.40625,0.59375,0.15625,0.46875,3.1264015568339154
0.15625,0.15625,0.53125,0.84375,0.84375,0.65625,0.96875,0.15625,3.902066682748542
0.65625,0.65625,0.03125,0.34375,0.34375,0.15625,0.46875,0.65625,3.143121747522446
0.90625,0.40625,0.78125,0.59375,0.09375,0.40625,0.71875,0.90625,4.380425728993748
0.40625,0.90625,0.28125,0.09375,0.59375,0.90625,0.21875,0.40625,3.5123801503699927
0.28125,0.28125,0.15625,0.21875,0.71875,0.53125,0.59375,0.78125,3.3564345745879645
0.78125,0.78125,0.65625,0.71875,0.21875,0.03125,0.09375,0.28125,3.296353477857612
